Plot,Subplot,Date,Surveyors,Active,Inactive,Maybe,Total,Notes,GISID,longitude,latitude
M20,6,6/24/2022,EG/LS/AP,0,0,0,0,,M20 6,-68.24636326,44.14927927
K15,24,7/25/2022,EG/LS/JM,0,0,0,0,1 death,K15 24,-68.2472133,44.15126559
M28,1,8/20/2022,EG/LS/HA,3,2,2,7,,M28 1,-68.24640793,44.14576829
L29,2,6/16/2022,LS,0,0,0,0,,L29 2,-68.24691375,44.14532147
N06,2,7/21/2022,EG/LS,2,2,1,5,1 death,N06 2,-68.24553164,44.15566608
I32,3,8/13/2022,EG/LS,0,0,0,0,,I32 3,-68.24868121,44.14398262
K27,10,6/22/2022,LS,0,0,0,0,,K27 10,-68.2471535,44.14613334
P32,20,8/12/2022,EG/LS,0,0,0,0,,P32 20,-68.24408004,44.14367597
K09,20,6/25/2022,EG/LS/JM,0,0,0,0,,K09 20,-68.24705278,44.15405554
K32,6,6/11/2022,LS,0,0,1,1,1 HERG nest,K32 6,-68.24768218,44.14388601
F21,10,7/9/2022,EG/LS,0,0,0,0,,F21 10,-68.25024494,44.14885465
M28,11,8/20/2022,EG/LS/HA,1,2,0,3,,M28 11,-68.24641022,44.14558824
L27,4,6/22/2022,EG/LS,0,2,0,2,,L27 4,-68.24665225,44.14622007
M05,25,7/21/2022,EG/LS,1,1,1,3,2 deaths,M05 25,-68.24578058,44.15575776
N25,11,8/19/2022,EG/LS/HA,6,0,2,8,,N25 11,-68.24576791,44.14693449
M05,11,8/18/2022,EG/LS/HA,12,1,2,15,,M05 11,-68.24627847,44.15594111
G15,25,7/28/2022,EG/LS/AP,0,0,1,1,,G15 25,-68.24958899,44.15128122
N28,20,6/18/2022,EG/LS,14,2,5,21,,N28 20,-68.24528615,44.14549079
O25,23,6/22/2022,EG/LS,6,1,3,10,,O25 23,-68.24489502,44.14674866
L04,11,7/24/2022,EG/LS/WH,9,1,7,17,1 death,L04 11,-68.24689797,44.15639536
G08,8,6/17/2022,EG,0,0,0,0,,G08 8,-68.24979572,44.15470381
E21,10,7/9/2022,EG/LS/JM,0,0,0,0,,E21 10,-68.25087009,44.14885875
J08,10,6/25/2022,EG/LS/JM,0,0,0,0,,J08 10,-68.24766999,44.15468983
D19,22,7/9/2022,EG/LS/JM,1,0,1,2,1 death,D19 22,-68.25185987,44.14949821
F10,5,7/5/2022,EG/LS,0,0,0,0,,F10 5,-68.25018111,44.15389605
M05,14,8/18/2022,EG/LS/HA,1,1,1,3,,M05 14,-68.24590333,44.15593863
M05,24,7/21/2022,EG/LS,15,6,2,23,,M05 24,-68.24590563,44.15575858
I07,24,6/25/2022,EG/LS,0,1,0,1,,I07 24,-68.24841796,44.15487482
I05,5,7/13/2022,EG/LS,0,0,0,0,,I05 5,-68.24827692,44.15613434
N25,13,8/19/2022,EG/LS/HA,2,2,1,5,,N25 13,-68.24551785,44.14693284
J06,18,7/12/2022,EG/LS,0,0,0,0,,J06 18,-68.24791093,44.15541167
M02,17,8/15/2022,EG/LS,16,3,2,21,,M02 17,-68.24613738,44.15720063
K30,10,6/16/2022,EG,2,1,2,5,,K30 10,-68.24717066,44.14478296
I31,5,8/13/2022,EG/LS,0,0,0,0,,I31 5,-68.24842545,44.1444311
N29,1,6/11/2022,LS,7,3,1,11,,N29 1,-68.24578854,44.14531404
J10,21,7/5/2022,EG/LS,0,0,0,0,blueberries!,J10 21,-68.24818502,44.1535228
K07,12,6/25/2022,EG/LS,3,1,2,6,,K07 12,-68.24741532,44.15504828
E17,10,7/30/2022,EG/LS,0,0,0,0,1 death,E17 10,-68.25084732,44.15065925
G07,17,6/17/2022,LS,0,0,0,0,,G07 17,-68.24991734,44.1549747
K35,24,8/13/2022,EG/LS,0,0,0,0,,K35 24,-68.24731644,44.14226905
M24,1,6/23/2022,LS,1,0,0,1,,M24 1,-68.24638502,44.14756879
I28,5,7/16/2022,EG/LS,2,0,2,4,1 death,I28 5,-68.24840946,44.14569145
K15,12,7/25/2022,EG/LS/JM,0,1,0,1,1 death,K15 12,-68.24746109,44.15144728
I17,18,6/24/2022,EG/LS/AP,0,0,0,0,,I17 18,-68.24859898,44.15046442
I19,21,6/28/2022,EG/LS,0,3,1,4,,I19 21,-68.24886161,44.14947579
D16,5,7/30/2022,EG/LS,0,2,0,2,,D16 5,-68.25146567,44.1512035
J17,25,6/24/2022,EG/LS/AP,0,3,0,3,3 pairs wings,J17 25,-68.24772488,44.15036863
Q33,5,8/12/2022,EG/LS,0,0,0,0,,Q33 5,-68.24397816,44.14349771
M36,4,8/11/2022,EG/LS,0,0,0,0,,M36 4,-68.24607869,44.14216482
E08,11,6/17/2022,EG/LS,0,0,0,0,,E08 11,-68.25129738,44.15462363
J14,16,7/25/2022,EG/LS/JM,0,1,0,1,,J14 16,-68.24820673,44.15181232
N04,22,7/22/2022,EG/LS,3,0,1,4,1 death,N04 22,-68.24552475,44.15620623
L19,14,7/7/2022,EG/LS/JM,0,2,0,2,1 wing,L19 14,-68.24660874,44.14964102
G22,5,7/10/2022,EG/LS,0,0,0,0,,G22 5,-68.24962435,44.14849044
H17,7,6/24/2022,EG/LS/AP,0,0,0,0,,H17 7,-68.2493469,44.1506494
K28,16,6/16/2022,EG/LS,6,4,3,13,,K28 16,-68.2476616,44.14550646
K05,18,7/13/2022,EG/LS,15,4,5,24,,K05 18,-68.24727998,44.15585768
E09,22,6/17/2022,LS,0,0,0,0,,E09 22,-68.2511803,44.15399263
L26,23,6/22/2022,EG/LS,0,0,0,0,,L26 23,-68.24677613,44.14631092
N25,18,8/19/2022,EG/LS/HA,1,0,0,1,,N25 18,-68.245519,44.14684282
K05,20,7/13/2022,EG/LS,11,2,5,18,,K05 20,-68.24702989,44.15585603
