"","flag","clutch","year","location","species"
"1",NA,2,"2001","borofsky","herg"
"2",NA,2,"2001","borofsky","herg"
"3",NA,1,"2001","borofsky","herg"
"4",NA,3,"2001","borofsky","herg"
"5",NA,3,"2001","borofsky","herg"
"6",NA,3,"2001","borofsky","herg"
"7",NA,3,"2001","borofsky","herg"
"8",NA,3,"2001","borofsky","herg"
"9",NA,1,"2001","borofsky","herg"
"10",NA,2,"2001","borofsky","herg"
"11",NA,1,"2001","borofsky","herg"
"12",NA,3,"2001","borofsky","herg"
"13",NA,3,"2001","borofsky","herg"
"14",NA,3,"2001","borofsky","herg"
"15",NA,3,"2001","borofsky","herg"
"16",NA,3,"2001","borofsky","herg"
"17",NA,2,"2001","borofsky","herg"
"18",NA,3,"2001","borofsky","herg"
"19",NA,3,"2001","borofsky","herg"
"20",NA,3,"2001","borofsky","herg"
"21",NA,3,"2001","borofsky","herg"
"22",NA,2,"2001","borofsky","herg"
"23",NA,3,"2001","borofsky","herg"
"24",NA,3,"2001","borofsky","herg"
"25",NA,3,"2001","borofsky","herg"
"26",NA,2,"2001","borofsky","herg"
"27",NA,3,"2001","borofsky","herg"
"28",NA,2,"2001","borofsky","herg"
"29",NA,1,"2001","borofsky","herg"
"30",NA,3,"2001","borofsky","herg"
"31",NA,3,"2001","borofsky","herg"
"32",NA,2,"2001","borofsky","herg"
"33",NA,3,"2001","borofsky","herg"
"34",NA,2,"2001","borofsky","herg"
"35",NA,3,"2001","borofsky","herg"
"36",NA,2,"2001","borofsky","herg"
"37",NA,3,"2001","borofsky","herg"
"38",NA,1,"2001","borofsky","herg"
"39",NA,3,"2001","borofsky","herg"
"40",NA,2,"2001","borofsky","herg"
"41",NA,3,"2001","borofsky","herg"
"42",NA,3,"2001","borofsky","herg"
"43",NA,2,"2001","borofsky","herg"
"44",NA,3,"2001","borofsky","herg"
"45",NA,3,"2001","borofsky","herg"
"46",NA,3,"2001","borofsky","herg"
"47",NA,3,"2001","borofsky","herg"
"48",NA,3,"2001","borofsky","herg"
"49",NA,2,"2001","borofsky","herg"
"50",NA,2,"2001","borofsky","herg"
"51",NA,3,"2001","borofsky","herg"
"52",NA,3,"2001","borofsky","herg"
"53",NA,3,"2001","borofsky","herg"
"54",NA,3,"2001","borofsky","herg"
"55",NA,3,"2001","borofsky","herg"
"56",NA,3,"2001","borofsky","herg"
"57",NA,2,"2001","borofsky","herg"
"58",NA,1,"2001","borofsky","herg"
"59",NA,3,"2001","borofsky","herg"
"60",NA,3,"2001","borofsky","herg"
"61",NA,3,"2001","borofsky","herg"
"62",NA,3,"2001","borofsky","herg"
"63",NA,3,"2001","borofsky","herg"
"64",NA,3,"2001","borofsky","herg"
"65",NA,3,"2001","borofsky","herg"
"66",NA,2,"2001","borofsky","herg"
"67",NA,1,"2001","borofsky","herg"
"68",NA,3,"2001","borofsky","herg"
"69",NA,3,"2001","borofsky","herg"
"70",NA,3,"2001","borofsky","herg"
"71",NA,2,"2001","borofsky","herg"
"72",NA,3,"2001","borofsky","herg"
"73",NA,3,"2001","borofsky","herg"
"74",NA,3,"2001","borofsky","herg"
"75",NA,3,"2001","borofsky","herg"
"76",NA,3,"2001","borofsky","herg"
"77",NA,3,"2001","borofsky","herg"
"78",NA,3,"2001","borofsky","herg"
"79",NA,3,"2001","borofsky","herg"
