"","flag","clutch","location","year","species"
"1",596,3,"GenShed->PuffinPoint","2021","herg"
"2",584,2,"GenShed->PuffinPoint","2021","herg"
"3",526,3,"GenShed->PuffinPoint","2021","herg"
"4",599,3,"GenShed->PuffinPoint","2021","herg"
"5",446,2,"GenShed->PuffinPoint","2021","herg"
"6",197,2,"GenShed->PuffinPoint","2021","herg"
"7",27,3,"GenShed->PuffinPoint","2021","herg"
"8",845,3,"GenShed->PuffinPoint","2021","herg"
"9",265,2,"GenShed->PuffinPoint","2021","herg"
"10",501,2,"GenShed->PuffinPoint","2021","herg"
"11",54,3,"GenShed->PuffinPoint","2021","herg"
"12",187,3,"GenShed->PuffinPoint","2021","herg"
"13",582,3,"GenShed->PuffinPoint","2021","herg"
"14",259,3,"GenShed->PuffinPoint","2021","herg"
"15",838,3,"GenShed->PuffinPoint","2021","herg"
"16",442,1,"GenShed->PuffinPoint","2021","herg"
"17",186,1,"GenShed->PuffinPoint","2021","herg"
"18",322,1,"GenShed->PuffinPoint","2021","herg"
"19",571,3,"GenShed->PuffinPoint","2021","herg"
"20",78,3,"GenShed->PuffinPoint","2021","herg"
"21",542,1,"GenShed->PuffinPoint","2021","herg"
"22",842,3,"GenShed->PuffinPoint","2021","herg"
"23",586,3,"GenShed->PuffinPoint","2021","herg"
"24",316,3,"GenShed->PuffinPoint","2021","herg"
"25",255,3,"GenShed->PuffinPoint","2021","herg"
"26",843,2,"GenShed->PuffinPoint","2021","herg"
"27",149,2,"GenShed->PuffinPoint","2021","herg"
"28",26,3,"GenShed->PuffinPoint","2021","herg"
"29",520,3,"GenShed->PuffinPoint","2021","herg"
"30",443,2,"GenShed->PuffinPoint","2021","herg"
"31",319,2,"GenShed->PuffinPoint","2021","herg"
"32",147,3,"GenShed->PuffinPoint","2021","herg"
"33",266,3,"GenShed->PuffinPoint","2021","herg"
"34",846,3,"GenShed->PuffinPoint","2021","herg"
"35",506,1,"GenShed->PuffinPoint","2021","herg"
"36",223,3,"GenShed->PuffinPoint","2021","herg"
"37",74,3,"GenShed->PuffinPoint","2021","herg"
"38",515,3,"GenShed->PuffinPoint","2021","herg"
"39",854,2,"GenShed->PuffinPoint","2021","herg"
"40",51,3,"GenShed->PuffinPoint","2021","herg"
"41",198,3,"GenShed->PuffinPoint","2021","herg"
"42",457,3,"GenShed->PuffinPoint","2021","herg"
"43",510,3,"GenShed->PuffinPoint","2021","herg"
"44",61,2,"GenShed->PuffinPoint","2021","herg"
"45",148,3,"GenShed->PuffinPoint","2021","herg"
"46",503,1,"GenShed->PuffinPoint","2021","herg"
"47",260,3,"GenShed->PuffinPoint","2021","herg"
"48",848,3,"GenShed->PuffinPoint","2021","herg"
"49",67,3,"GenShed->PuffinPoint","2021","herg"
"50",325,3,"GenShed->PuffinPoint","2021","herg"
"51",144,3,"GenShed->PuffinPoint","2021","herg"
"52",505,3,"GenShed->PuffinPoint","2021","herg"
"53",390,3,"GenShed->PuffinPoint","2021","herg"
"54",498,3,"GenShed->PuffinPoint","2021","herg"
"55",509,3,"GenShed->PuffinPoint","2021","herg"
"56",125,3,"GenShed->PuffinPoint","2021","herg"
"57",481,3,"GenShed->PuffinPoint","2021","herg"
"58",525,3,"GenShed->PuffinPoint","2021","herg"
"59",386,3,"GenShed->PuffinPoint","2021","herg"
"60",64,2,"GenShed->PuffinPoint","2021","herg"
"61",169,3,"GenShed->PuffinPoint","2021","herg"
"62",499,3,"GenShed->PuffinPoint","2021","herg"
"63",865,2,"GenShed->PuffinPoint","2021","herg"
"64",407,3,"GenShed->PuffinPoint","2021","herg"
"65",256,2,"GenShed->PuffinPoint","2021","herg"
"66",524,1,"GenShed->PuffinPoint","2021","herg"
"67",150,3,"GenShed->PuffinPoint","2021","herg"
"68",264,3,"GenShed->PuffinPoint","2021","herg"
"69",93,1,"GenShed->PuffinPoint","2021","herg"
"70",863,3,"GenShed->PuffinPoint","2021","herg"
"71",245,3,"GenShed->PuffinPoint","2021","herg"
"72",378,2,"GenShed->PuffinPoint","2021","herg"
"73",327,3,"GenShed->PuffinPoint","2021","herg"
"74",287,1,"GenShed->PuffinPoint","2021","herg"
"75",307,2,"GenShed->PuffinPoint","2021","herg"
"76",173,3,"GenShed->PuffinPoint","2021","herg"
"77",283,3,"GenShed->PuffinPoint","2021","herg"
"78",406,2,"GenShed->PuffinPoint","2021","herg"
"79",508,3,"GenShed->PuffinPoint","2021","herg"
"80",206,3,"GenShed->PuffinPoint","2021","herg"
"81",332,3,"GenShed->PuffinPoint","2021","herg"
"82",89,3,"GenShed->PuffinPoint","2021","herg"
"83",242,3,"GenShed->PuffinPoint","2021","herg"
