"","flag","clutch","year","location","species"
"1",50,1,"2006","east","herg"
"2",43,3,"2006",NA,"herg"
"3",51,3,"2006",NA,"herg"
"4",14,2,"2006",NA,"herg"
"5",19,3,"2006",NA,"herg"
"6",53,2,"2006",NA,"herg"
"7",32,3,"2006",NA,"herg"
"8",52,3,"2006",NA,"herg"
"9",23,3,"2006",NA,"herg"
"10",54,3,"2006",NA,"herg"
"11",49,3,"2006",NA,"herg"
"12",27,3,"2006",NA,"herg"
"13",33,2,"2006",NA,"herg"
"14",25,3,"2006",NA,"herg"
"15",46,3,"2006",NA,"herg"
"16",55,3,"2006",NA,"herg"
"17",17,3,"2006",NA,"herg"
"18",3,2,"2006",NA,"herg"
"19",12,3,"2006",NA,"herg"
"20",22,3,"2006",NA,"herg"
"21",2,3,"2006",NA,"herg"
"22",55,3,"2006",NA,"herg"
"23",48,3,"2006",NA,"herg"
"24",18,3,"2006",NA,"herg"
"25",30,3,"2006",NA,"herg"
"26",21,3,"2006",NA,"herg"
"27",84,3,"2006",NA,"herg"
"28",15,2,"2006",NA,"herg"
"29",13,1,"2006",NA,"herg"
"30",24,3,"2006",NA,"herg"
"31",20,3,"2006",NA,"herg"
"32",28,2,"2006",NA,"herg"
"33",82,3,"2006",NA,"herg"
"34",1,3,"2006",NA,"herg"
"35",26,3,"2006",NA,"herg"
"36",94,2,"2006",NA,"herg"
"37",5,2,"2006",NA,"herg"
"38",9,3,"2006",NA,"herg"
"39",7,2,"2006",NA,"herg"
"40",8,2,"2006",NA,"herg"
"41",11,3,"2006",NA,"herg"
"42",16,2,"2006",NA,"herg"
"43",4,3,"2006",NA,"herg"
"44",36,3,"2006",NA,"herg"
"45",6,3,"2006",NA,"herg"
"46",47,3,"2006",NA,"herg"
"47",10,3,"2006",NA,"herg"
"48",44,2,"2006",NA,"herg"
"49",41,3,"2006",NA,"herg"
"50",45,3,"2006",NA,"herg"
"51",39,3,"2006",NA,"herg"
"52",31,1,"2006",NA,"herg"
"53",34,3,"2006",NA,"herg"
"54",87,3,"2006",NA,"herg"
"55",37,3,"2006",NA,"herg"
"56",57,3,"2006",NA,"herg"
"57",89,3,"2006",NA,"herg"
"58",29,2,"2006",NA,"herg"
"59",99,2,"2006",NA,"herg"
"60",91,3,"2006",NA,"herg"
"61",76,3,"2006",NA,"herg"
"62",100,3,"2006",NA,"herg"
"63",72,2,"2006",NA,"herg"
"64",35,3,"2006",NA,"herg"
"65",67,2,"2006",NA,"herg"
"66",101,3,"2006",NA,"herg"
"67",68,1,"2006",NA,"herg"
"68",96,1,"2006",NA,"gbbg"
"69",102,3,"2006",NA,"herg"
"70",78,3,"2006",NA,"herg"
"71",66,1,"2006",NA,"herg"
"72",77,1,"2006",NA,"herg"
"73",104,1,"2006",NA,"herg"
