"","flag","clutch","year","location","species"
"1",97,1,"2005","East","herg"
"2",6,3,"2005",NA,"herg"
"3",62,3,"2005",NA,"herg"
"4",65,2,"2005",NA,"herg"
"5",39,3,"2005",NA,"herg"
"6",182,1,"2005",NA,"herg"
"7",32,2,"2005",NA,"herg"
"8",111,3,"2005",NA,"herg"
"9",28,3,"2005",NA,"herg"
"10",40,3,"2005",NA,"herg"
"11",64,3,"2005",NA,"herg"
"12",315,1,"2005",NA,"herg"
"13",116,1,"2005",NA,"herg"
"14",165,3,"2005",NA,"herg"
"15",33,3,"2005",NA,"herg"
"16",75,2,"2005",NA,"herg"
"17",197,2,"2005",NA,"herg"
"18",107,3,"2005",NA,"herg"
"19",79,3,"2005",NA,"herg"
"20",7,3,"2005",NA,"herg"
"21",104,1,"2005",NA,"herg"
"22",91,2,"2005",NA,"herg"
"23",83,3,"2005",NA,"herg"
"24",78,3,"2005",NA,"herg"
"25",16,3,"2005",NA,"herg"
"26",142,1,"2005",NA,"herg"
"27",52,3,"2005",NA,"herg"
"28",20,2,"2005",NA,"herg"
"29",69,3,"2005",NA,"herg"
"30",62,1,"2005",NA,"herg"
"31",303,2,"2005",NA,"herg"
"32",331,2,"2005",NA,"herg"
"33",158,1,"2005",NA,"herg"
"34",19,1,"2005",NA,"herg"
"35",328,3,"2005",NA,"herg"
"36",332,3,"2005",NA,"herg"
"37",10,2,"2005",NA,"herg"
"38",44,3,"2005",NA,"herg"
"39",119,2,"2005",NA,"herg"
"40",31,3,"2005",NA,"herg"
"41",196,1,"2005",NA,"herg"
"42",45,3,"2005",NA,"herg"
"43",8,3,"2005",NA,"herg"
"44",27,2,"2005",NA,"herg"
"45",338,3,"2005",NA,"herg"
"46",29,2,"2005",NA,"herg"
"47",304,2,"2005",NA,"herg"
"48",135,2,"2005",NA,"herg"
"49",66,2,"2005",NA,"herg"
"50",168,1,"2005",NA,"herg"
"51",188,2,"2005",NA,"herg"
"52",11,3,"2005",NA,"herg"
"53",115,3,"2005",NA,"herg"
"54",191,2,"2005",NA,"herg"
"55",55,1,"2005",NA,"herg"
"56",3,2,"2005",NA,"herg"
"57",68,2,"2005",NA,"herg"
"58",36,2,"2005",NA,"herg"
"59",82,1,"2005",NA,"herg"
"60",301,2,"2005",NA,"herg"
"61",193,2,"2005",NA,"herg"
"62",170,3,"2005",NA,"herg"
"63",35,2,"2005",NA,"herg"
"64",9,3,"2005",NA,"herg"
"65",81,3,"2005",NA,"herg"
"66",57,3,"2005",NA,"herg"
"67",325,2,"2005",NA,"herg"
"68",326,3,"2005",NA,"herg"
"69",87,3,"2005",NA,"herg"
"70",150,3,"2005",NA,"herg"
"71",145,3,"2005",NA,"herg"
"72",340,1,"2005",NA,"herg"
"73",61,1,"2005",NA,"herg"
"74",130,3,"2005",NA,"herg"
"75",185,2,"2005",NA,"herg"
"76",323,1,"2005",NA,"herg"
"77",154,3,"2005",NA,"herg"
"78",103,3,"2005",NA,"herg"
"79",67,3,"2005",NA,"herg"
"80",100,3,"2005",NA,"herg"
"81",123,3,"2005",NA,"herg"
"82",189,1,"2005",NA,"herg"
"83",152,2,"2005",NA,"herg"
"84",128,2,"2005",NA,"herg"
"85",183,3,"2005",NA,"herg"
"86",333,3,"2005",NA,"herg"
"87",25,3,"2005",NA,"herg"
"88",133,3,"2005",NA,"herg"
"89",12,3,"2005",NA,"herg"
"90",117,3,"2005",NA,"herg"
"91",306,1,"2005",NA,"herg"
"92",90,3,"2005",NA,"herg"
"93",73,2,"2005",NA,"herg"
"94",127,3,"2005",NA,"herg"
"95",149,3,"2005",NA,"herg"
"96",172,3,"2005",NA,"herg"
"97",137,2,"2005",NA,"herg"
"98",330,2,"2005",NA,"herg"
"99",124,3,"2005",NA,"herg"
"100",22,2,"2005",NA,"herg"
"101",34,2,"2005",NA,"herg"
"102",4,2,"2005",NA,"herg"
"103",70,3,"2005",NA,"herg"
"104",339,1,"2005",NA,"herg"
"105",59,2,"2005",NA,"herg"
"106",95,3,"2005",NA,"herg"
"107",163,2,"2005",NA,"herg"
"108",334,1,"2005",NA,"herg"
"109",167,3,"2005",NA,"herg"
"110",329,3,"2005",NA,"herg"
"111",29,3,"2005",NA,"herg"
"112",134,1,"2005",NA,"herg"
"113",24,1,"2005",NA,"herg"
"114",337,2,"2005",NA,"herg"
"115",310,3,"2005",NA,"herg"
"116",339,3,"2005",NA,"herg"
"117",327,3,"2005",NA,"herg"
"118",126,3,"2005",NA,"herg"
"119",37,3,"2005",NA,"herg"
"120",15,3,"2005",NA,"herg"
"121",140,1,"2005",NA,"herg"
"122",41,3,"2005",NA,"herg"
"123",190,3,"2005",NA,"herg"
"124",148,3,"2005",NA,"herg"
"125",51,3,"2005",NA,"herg"
"126",109,3,"2005",NA,"herg"
"127",164,2,"2005",NA,"herg"
"128",43,1,"2005",NA,"herg"
"129",54,3,"2005",NA,"herg"
"130",105,3,"2005",NA,"herg"
"131",125,3,"2005",NA,"herg"
"132",47,3,"2005",NA,"herg"
"133",50,2,"2005",NA,"herg"
"134",151,2,"2005",NA,"herg"
"135",30,1,"2005",NA,"herg"
"136",143,2,"2005",NA,"herg"
"137",303,2,"2005",NA,"herg"
"138",161,2,"2005",NA,"herg"
"139",331,3,"2005",NA,"herg"
"140",74,1,"2005",NA,"herg"
"141",23,2,"2005","End of East","herg"
"142",96,1,"2005","Boat House","herg"
"143",58,1,"2005",NA,"herg"
"144",88,3,"2005",NA,"herg"
"145",85,3,"2005",NA,"herg"
"146",56,3,"2005",NA,"herg"
"147",86,3,"2005",NA,"herg"
"148",61,3,"2005",NA,"herg"
"149",64,2,"2005",NA,"herg"
"150",1,3,"2005","End of Boat House","herg"
