"","flag","clutch","year","species"
"210",157,"3","2014","gbbg"
"211",195,"5","2014","herg"
"212",69,"3","2014","herg"
"213",911,"3","2014","herg"
"214",256,"3","2014","herg"
"215",139,"3","2014","herg"
"216",172,"3","2014","gbbg"
"217",437,"3","2014","gbbg"
"218",296,"3","2014","herg"
"219",20,"3","2014","gbbg"
"220",51,"3","2014","herg"
"221",73,"3","2014","herg"
"222",283,"3","2014","gbbg"
"223",274,"3","2014","gbbg"
"224",124,"3","2014","gbbg"
"225",78,"3","2014","gbbg"
"226",468,"2","2014","gbbg"
"227",271,"3","2014","gbbg"
"228",912,"3","2014","gbbg"
"229",179,"2","2014","gbbg"
"230",608,"3","2014","herg"
"231",609,"3","2014","gbbg"
"232",610,"3","2014","herg"
"233",65,"1","2014","gbbg"
"234",447,"1","2014","gbbg"
"235",87,"3","2014","gbbg"
"236",79,"1","2014","herg"
"237",186,"2","2014","gbbg"
"238",NA,"5","2014","herg"
"239",396,"3","2014","gbbg"
"240",272,"3","2014","gbbg"
"241",154,"3","2014","herg"
"242",160,"3","2014","herg"
"243",84,"3","2014","herg"
"244",278,"3","2014","gbbg"
"245",907,"3","2014","herg"
"246",97,"3","2014","herg"
"247",502,"3","2014","gbbg"
"248",53,"3","2014","herg"
"249",347,"3","2014","herg"
"250",165,"3","2014","herg"
"251",315,"2","2014","herg"
"252",96,"3","2014","herg"
"253",44,"3","2014","gbbg"
"254",223,"3","2014","herg"
"255",14,"2","2014","herg"
"256",513,"3","2014","gbbg"
"257",321,"4","2014","coei"
"258",399,"3","2014","herg"
"259",516,"3","2014","herg"
"260",390,"3","2014","gbbg"
"261",493,"1","2014","gbbg"
"262",905,"3","2014","herg"
"263",906,"3","2014","herg"
"264",513,"3","2014","gbbg"
"265",155,"3","2014","herg"
"266",486,"2","2014","herg"
"267",422,"3","2014","herg"
"268",123,"3","2014","herg"
"269",907,"3","2014","herg"
"270",88,"2","2014","herg"
"271",68,"3","2014","herg"
"272",64,"1","2014","herg"
"273",349,"3","2014","herg"
"274",428,"2","2014","herg"
"275",9,"2","2014","herg"
"276",56,"3","2014","herg"
"277",511,"2","2014","gbbg"
"278",159,"3","2014","herg"
"279",119,"2","2014","herg"
"280",327,"1","2014","herg"
"281",517,"3","2014","herg"
"282",86,"2","2014","herg"
"283",312,"3","2014","herg"
"284",482,"3","2014","herg"
"285",18,"2","2014","herg"
"286",50,"3","2014","herg"
"287",325,"3","2014","herg"
"288",344,"3","2014","herg"
"289",77,"3","2014","herg"
"290",90,"3","2014","herg"
"291",32,"3","2014","herg"
"292",82,"3","2014","herg"
"293",314,"3","2014","herg"
"294",244,"3","2014","herg"
"295",340,"3","2014","herg"
"296",510,"3","2014","herg"
"297",501,"3","2014","gbbg"
"298",400,"3","2014","gbbg"
"299",455,"2","2014","herg"
"300",277,"3","2014","gbbg"
"301",433,"3","2014","herg"
"302",423,"3","2014","herg"
"303",430,"3","2014","gbbg"
"304",913,"3","2014","herg"
"305",52,"3","2014","herg"
"306",132,"1","2014","herg"
"307",320,"2","2014","herg"
"308",99,"2","2014","herg"
"309",345,"3","2014","herg"
"310",226,"3","2014","herg"
"311",239,"3","2014","gbbg"
"312",75,"2","2014","herg"
"313",266,"3","2014","gbbg"
"314",140,"3","2014","herg"
"315",240,"2","2014","herg"
"316",29,"2","2014","herg"
"317",433,"3","2014","herg"
"318",243,"3","2014","herg"
"319",435,"2","2014","herg"
"320",176,"3","2014","herg"
"321",507,"3","2014","gbbg"
"322",460,"3","2014","herg"
"323",464,"2","2014","herg"
"324",477,"3","2014","herg"
"325",488,"2","2014","herg"
"326",62,"2","2014","herg"
"327",92,"3","2014","herg"
"328",505,"1","2014","gbbg"
"329",204,"1","2014","herg"
"330",81,"3","2014","herg"
"331",112,"2","2014","herg"
"332",462,"2","2014","herg"
"333",93,"3","2014","herg"
"334",356,"3","2014","herg"
"335",238,"2","2014","gbbg"
"336",509,"3","2014","herg"
"337",76,"3","2014","herg"
"338",166,"3","2014","herg"
"339",355,"2","2014","herg"
"340",230,"3","2014","gbbg"
"341",28,"3","2014","herg"
"342",258,"3","2014","herg"
"343",102,"3","2014","herg"
"344",101,"3","2014","herg"
"345",197,"3","2014","herg"
"346",233,"3","2014","herg"
"347",216,"3","2014","gbbg"
"348",113,"3","2014","herg"
"349",174,"3","2014","herg"
"350",463,"3","2014","herg"
"351",151,"3","2014","herg"
"352",148,"3","2014","herg"
"353",354,"3","2014","herg"
"354",215,"3","2014","herg"
"355",394,"3","2014","herg"
"356",301,"1","2014","herg"
"357",360,"3","2014","herg"
"358",500,"3","2014","gbbg"
"359",483,"3","2014","gbbg"
"360",83,"3","2014","herg"
"361",375,"3","2014","herg"
"362",352,"3","2014","herg"
"363",302,"3","2014","herg"
"364",503,"3","2014","herg"
"365",297,"4","2014","coei"
"366",167,"3","2014","herg"
"367",116,"3","2014","herg"
"368",45,"3","2014","herg"
"369",508,"3","2014","herg"
"370",437,"3","2014","gbbg"
"371",300,"3","2014","herg"
"372",133,"z","2014","herg"
"373",115,"3","2014","herg"
"374",178,"3","2014","herg"
"375",453,"3","2014","herg"
"376",506,"3","2014","herg"
"377",403,"3","2014","herg"
"378",26,"3","2014","herg"
"379",402,"3","2014","herg"
"380",436,"3","2014","herg"
"381",409,"3","2014","herg"
"382",465,"3","2014","herg"
"383",303,"3","2014","herg"
"384",362,"3","2014","herg"
"385",484,"3","2014","herg"
"386",129,"2","2014","herg"
"387",435,"2","2014","herg"
"388",NA,NA,"2014","herg"
"389",43,"3","2014","herg"
"390",174,"2","2014","gbbg"
"391",900,"1","2014","herg"
"392",901,"3","2014","herg"
"393",311,"3","2014","herg"
"394",317,"3","2014","herg"
"395",1,"3","2014","herg"
"396",408,"2","2014","herg"
"397",11,"3","2014","herg"
"398",376,"3","2014","herg"
"399",914,"3","2014","herg"
"400",915,"3","2014","herg"
"401",916,"4","2014","herg"
"402",917,"2","2014","herg"
"403",918,"2","2014","herg"
"404",21,"3","2014","herg"
"405",498,"3","2014","herg"
"406",23,"3","2014","herg"
"407",286,"3","2014","herg"
"408",471,"3","2014","herg"
"409",331,"3","2014","herg"
"410",338,"2","2014","herg"
"411",414,"3","2014","herg"
"412",213,"3","2014","herg"
"413",330,"1","2014","herg"
"414",116,"3","2014","herg"
"415",348,"3","2014","herg"
"416",231,"2","2014","herg"
"417",514,"2","2014","herg"
"418",378,"3","2014","herg"
"419",135,"3","2014","herg"
"420",188,"3","2014","herg"
"421",377,"3","2014","herg"
"422",487,"3","2014","herg"
"423",245,"3","2014","herg"
"424",919,"2","2014","herg"
"425",454,"3","2014","herg"
"426",427,"3","2014","herg"
"427",382,"3","2014","herg"
"428",373,"1","2014","herg"
"429",423,"3","2014","herg"
"430",112,"2","2014","gbbg"
"431",515,"3","2014","gbbg"
"432",225,"3","2014","herg"
"433",346,"3","2014","herg"
"434",253,"4","2014","herg"
"435",469,"1","2014","herg"
"436",494,"3","2014","herg"
"437",476,"3","2014","herg"
"438",60,"6","2014","coei"
"439",141,"3","2014","herg"
"440",47,"2","2014","herg"
"441",264,"3","2014","herg"
"442",442,"3","2014","herg"
"443",478,"2","2014","herg"
"444",323,"3","2014","herg"
"445",444,"2","2014","herg"
"446",49,"3","2014","herg"
"447",14,"2","2014","herg"
"448",214,"3","2014","herg"
"449",140,"3","2014","herg"
"450",247,"2","2014","herg"
"451",372,"3","2014","herg"
"452",237,"3","2014","herg"
"453",410,"3","2014","herg"
"454",262,"3","2014","herg"
"455",367,"3","2014","herg"
"456",366,"3","2014","herg"
"457",260,"3","2014","herg"
"458",203,"3","2014","herg"
"459",140,"2","2014","herg"
"460",98,"2","2014","herg"
"461",310,"3","2014","herg"
"462",397,"3","2014","herg"
"463",361,"3","2014","herg"
"464",369,"2","2014","herg"
"465",177,"3","2014","herg"
"466",242,"3","2014","herg"
"467",138,"3","2014","herg"
"468",265,"2","2014","herg"
"469",339,"1","2014","herg"
"470",404,"3","2014","herg"
"471",291,"3","2014","gbbg"
"472",292,"2","2014","gbbg"
"473",192,"2","2014","herg"
"474",375,"3","2014","herg"
"475",406,"3","2014","herg"
"476",504,"2","2014","gbbg"
"477",393,"3","2014","herg"
"478",374,"3","2014","herg"
"479",398,"3","2014","herg"
"480",333,"2","2014","herg"
"481",438,"3","2014","herg"
"482",342,"3","2014","herg"
"483",412,"3","2014","herg"
"484",430,"2","2014","gbbg"
"485",337,"2","2014","herg"
"486",383,"2","2014","herg"
"487",353,"3","2014","gbbg"
"488",384,"3","2014","herg"
"489",481,"3","2014","herg"
"490",431,"3","2014","herg"
"491",210,"3","2014","herg"
"492",421,"3","2014","herg"
"493",332,"2","2014","herg"
"494",134,"2","2014","herg"
"495",234,"3","2014","gbbg"
"496",380,"3","2014","herg"
"497",381,"2","2014","herg"
"498",110,"3","2014","herg"
"499",343,"3","2014","herg"
"500",169,"3","2014","herg"
"501",313,"2","2014","gbbg"
"502",479,"1","2014","herg"
"503",289,"3","2014","herg"
"504",316,"2","2014","gbbg"
"505",212,"2","2014","herg"
"506",187,"3","2014","gbbg"
"507",209,"3","2014","herg"
"508",126,"3","2014","gbbg"
"509",385,"3","2014","herg"
"510",207,"3","2014","herg"
"511",497,"2","2014","herg"
"512",201,"2","2014","herg"
"513",100,"2","2014","herg"
"514",202,"3","2014","herg"
"515",205,"2","2014","herg"
"516",335,"3","2014","herg"
"517",27,"3","2014","herg"
"518",122,"3","2014","gbbg"
"519",305,"3","2014","herg"
"520",24,"3","2014","herg"
"521",392,"3","2014","herg"
"522",441,"1","2014","herg"
"523",334,"3","2014","herg"
"524",429,"3","2014","herg"
"525",272,"2","2014","herg"
"526",206,"3","2014","herg"
"527",480,"3","2014","herg"
"528",439,"3","2014","herg"
"529",2,"3","2014","gbbg"
"530",402,"3","2014","herg"
"531",163,"3","2014","herg"
"532",368,"3","2014","herg"
"533",285,"2","2014","gbbg"
"534",324,"3","2014","herg"
"535",189,"3","2014","herg"
"536",295,"3","2014","herg"
"537",385,"3","2014","gbbg"
"538",111,"3","2014","herg"
"539",336,"3","2014","gbbg"
"540",106,"3","2014","herg"
"541",12,"3","2014","gbbg"
"542",450,"2","2014","herg"
"543",461,"3","2014","herg"
"544",318,"2","2014","herg"
"545",449,"3","2014","gbbg"
"546",6,"3","2014","herg"
"547",411,"3","2014","gbbg"
"548",150,"3","2014","herg"
"549",180,"2","2014","herg"
"550",108,"2","2014","herg"
"551",40,"3","2014","herg"
"552",158,"3","2014","herg"
"553",7,"2","2014","herg"
"554",489,"3","2014","herg"
"555",104,"2","2014","herg"
"556",183,"3","2014","herg"
"557",10,"3","2014","herg"
"558",341,"3","2014","herg"
"559",293,"3","2014","herg"
"560",329,"3","2014","herg"
"561",8,"3","2014","herg"
"562",3,"3","2014","herg"
"563",4,"3","2014","herg"
"564",288,"2","2014","herg"
"565",120,"2","2014","gbbg"
"566",164,"3","2014","herg"
"567",425,"3","2014","herg"
"568",294,"3","2014","herg"
"569",446,"3","2014","gbbg"
"570",413,"2","2014","herg"
"571",389,"3","2014","herg"
"572",182,"3","2014","herg"
"573",405,"3","2014","herg"
"574",287,"3","2014","herg"
"575",NA,NA,"2014","herg"
"576",554,"2","2014","herg"
"577",557,"2","2014","herg"
"578",562,"3","2014","herg"
"579",279,"2","2014","herg"
"580",585,"2","2014","herg"
"581",560,"3","2014","herg"
"582",224,"3","2014","herg"
"583",599,"3","2014","herg"
"584",578,"3","2014","herg"
"585",555,"3","2014","herg"
"586",574,"3","2014","herg"
"587",561,"3","2014","herg"
"588",563,"2","2014","herg"
"589",565,"3","2014","herg"
"590",592,"2","2014","herg"
"591",596,"3","2014","herg"
"592",566,"2","2014","herg"
"593",580,"3","2014","herg"
"594",573,"3","2014","herg"
"595",556,"2","2014","herg"
"596",595,"3","2014","herg"
"597",570,"2","2014","herg"
"598",589,"2","2014","herg"
"599",551,"3","2014","herg"
"600",558,"3","2014","herg"
"601",552,"2","2014","herg"
"602",572,"2","2014","herg"
"603",583,"2","2014","herg"
"604",553,"3","2014","herg"
"605",597,"3","2014","herg"
"606",579,"2","2014","herg"
"607",568,"2","2014","herg"
"608",576,"3","2014","gbbg"
"609",584,"3","2014","herg"
"610",569,"2","2014","gbbg"
"611",575,"3","2014","herg"
"612",550,"3","2014","herg"
"613",590,"3","2014","herg"
"614",571,"2","2014","herg"
"615",564,"2","2014","herg"
"616",598,"3","2014","herg"
"617",593,"2","2014","herg"
"618",559,"3","2014","herg"
"619",587,"3","2014","herg"
"620",567,"3","2014","herg"
"621",588,"3","2014","herg"
"622",582,"3","2014","herg"
"623",581,"3","2014","herg"
"624",586,"3","2014","herg"
"625",591,"3","2014","herg"
"626",577,"2","2014","herg"
"627",NA,"3","2014","herg"
"628",NA,"2","2014","herg"
"629",NA,"2","2014","herg"
"630",NA,"3","2014","herg"
"631",NA,"3","2014","herg"
"632",NA,"3","2014","herg"
"633",NA,"3","2014","herg"
"634",NA,"3","2014","herg"
"635",NA,"3","2014","herg"
"636",NA,"3","2014","herg"
"637",NA,"3","2014","herg"
"638",NA,"3","2014","herg"
"639",NA,"3","2014","herg"
"640",NA,"3","2014","herg"
"641",NA,"3","2014","herg"
"642",NA,"3","2014","herg"
"643",NA,"3","2014","herg"
"644",NA,"3","2014","herg"
"645",NA,"3","2014","herg"
"646",NA,"3","2014","herg"
"647",NA,"3","2014","herg"
"648",NA,"2","2014","herg"
"649",NA,"2","2014","herg"
"650",NA,"3","2014","herg"
"651",NA,"3","2014","herg"
"652",NA,"2","2014","herg"
"653",NA,"3","2014","herg"
"654",NA,"3","2014","herg"
"655",NA,"3","2014","herg"
"656",NA,"3","2014","herg"
"657",NA,"3","2014","herg"
"658",NA,"3","2014","herg"
"659",NA,"3","2014","herg"
"660",NA,"2","2014","herg"
"661",NA,"3","2014","herg"
"662",NA,"2","2014","herg"
"663",NA,"3","2014","herg"
"664",NA,"3","2014","herg"
"665",NA,"3","2014","herg"
"666",NA,"3","2014","herg"
"667",NA,"3","2014","herg"
"668",NA,"3","2014","herg"
"669",NA,"3","2014","herg"
"670",NA,"3","2014","herg"
"671",NA,"1","2014","herg"
"672",NA,"3","2014","herg"
"673",NA,"1","2014","herg"
"674",NA,"3","2014","herg"
"675",NA,"3","2014","herg"
"676",NA,"3","2014","herg"
"677",NA,"3","2014","herg"
"678",NA,"3","2014","herg"
"679",NA,"3","2014","herg"
"680",NA,"3","2014","herg"
"681",NA,"1","2014","herg"
"682",NA,"3","2014","herg"
"683",NA,"3","2014","herg"
"684",NA,"3","2014","herg"
"685",NA,"3","2014","herg"
"686",NA,"2","2014","herg"
"687",NA,"1","2014","herg"
"688",NA,"3","2014","herg"
"689",NA,"3","2014","herg"
"690",NA,"3","2014","herg"
"691",NA,"1","2014","herg"
"692",NA,"3","2014","herg"
"693",NA,"3","2014","herg"
"694",NA,"3","2014","herg"
"695",NA,"3","2014","herg"
"696",NA,"2","2014","herg"
"697",NA,"1","2014","herg"
"698",NA,"3","2014","herg"
"699",NA,"3","2014","herg"
"700",NA,"3","2014","herg"
"701",NA,"1","2014","herg"
"702",NA,"3","2014","herg"
"703",NA,"3","2014","herg"
"704",NA,"3","2014","herg"
"705",NA,"2","2014","herg"
"706",NA,"3","2014","herg"
"707",NA,"3","2014","herg"
"708",NA,"3","2014","herg"
"709",NA,"3","2014","herg"
"710",NA,"3","2014","herg"
"711",NA,"2","2014","herg"
"712",NA,"2","2014","herg"
"713",NA,"3","2014","herg"
"714",NA,"3","2014","herg"
"715",NA,"3","2014","herg"
"716",NA,"3","2014","herg"
"717",NA,"3","2014","herg"
"718",NA,"3","2014","herg"
"719",NA,"2","2014","herg"
"720",NA,"3","2014","herg"
"721",NA,"3","2014","herg"
"722",NA,"3","2014","herg"
"723",NA,"2","2014","herg"
"724",NA,"3","2014","herg"
"725",NA,"3","2014","herg"
"726",NA,"3","2014","herg"
