"","flag","clutch","year","species"
"1",18,2,"2016","gbbg"
"2",5,3,"2016","herg"
"3",6,3,"2016","herg"
"4",3,3,"2016","herg"
"5",4,2,"2016","herg"
"6",8,3,"2016","herg"
"7",9,3,"2016","herg"
"8",237,3,"2016","herg"
"9",253,3,"2016","herg"
"10",502,3,"2016","herg"
"11",117,1,"2016","herg"
"12",141,4,"2016","herg"
"13",586,3,"2016","herg"
"14",10,3,"2016","herg"
"15",333,2,"2016","gbbg"
"16",230,3,"2016","herg"
"17",585,3,"2016","herg"
"18",11,3,"2016","herg"
"19",238,3,"2016","herg"
"20",244,3,"2016","herg"
"21",582,3,"2016","herg"
"22",13,3,"2016","herg"
"23",383,3,"2016","herg"
"24",250,3,"2016","herg"
"25",578,3,"2016","herg"
"26",279,3,"2016","herg"
"27",428,3,"2016","herg"
"28",154,3,"2016","herg"
"29",576,3,"2016","herg"
"30",237,3,"2016","herg"
"31",14,3,"2016","herg"
"32",251,3,"2016","herg"
"33",114,3,"2016","herg"
"34",584,3,"2016","herg"
"35",16,3,"2016","herg"
"36",243,3,"2016","herg"
"37",236,3,"2016","herg"
"38",284,3,"2016","herg"
"39",580,3,"2016","herg"
"40",113,3,"2016","herg"
"41",422,3,"2016","herg"
"42",17,3,"2016","herg"
"43",112,2,"2016","herg"
"44",256,3,"2016","herg"
"45",579,3,"2016","herg"
"46",19,3,"2016","herg"
"47",242,3,"2016","herg"
"48",131,3,"2016","herg"
"49",382,3,"2016","herg"
"50",583,3,"2016","herg"
"51",420,3,"2016","herg"
"52",254,3,"2016","herg"
"53",122,3,"2016","herg"
"54",429,2,"2016","herg"
"55",231,3,"2016","herg"
"56",110,3,"2016","herg"
"57",581,2,"2016","herg"
"58",107,2,"2016","herg"
"59",280,3,"2016","herg"
"60",241,3,"2016","herg"
"61",383,3,"2016","herg"
"62",425,3,"2016","herg"
"63",501,3,"2016","herg"
"64",240,2,"2016","herg"
"65",200,3,"2016","herg"
"66",355,3,"2016","herg"
"67",199,3,"2016","herg"
"68",234,3,"2016","herg"
"69",500,3,"2016","herg"
"70",504,3,"2016","herg"
"71",263,3,"2016","herg"
"72",270,3,"2016","herg"
"73",261,3,"2016","herg"
"74",503,2,"2016","herg"
"75",510,3,"2016","herg"
"76",219,2,"2016","herg"
"77",511,2,"2016","herg"
"78",424,3,"2016","herg"
"79",20,3,"2016","herg"
"80",195,3,"2016","herg"
"81",247,3,"2016","herg"
"82",235,3,"2016","herg"
"83",197,3,"2016","herg"
"84",508,3,"2016","herg"
"85",255,3,"2016","herg"
"86",180,3,"2016","herg"
"87",277,3,"2016","herg"
"88",166,3,"2016","herg"
"89",506,3,"2016","herg"
"90",278,3,"2016","herg"
"91",252,1,"2016","herg"
"92",514,3,"2016","herg"
"93",421,3,"2016","herg"
"94",258,3,"2016","herg"
"95",169,3,"2016","herg"
"96",588,3,"2016","herg"
"97",222,3,"2016","herg"
"98",210,3,"2016","herg"
"99",517,2,"2016","herg"
"100",440,2,"2016","herg"
"101",199,3,"2016","herg"
"102",257,3,"2016","herg"
"103",332,2,"2016","herg"
"104",249,3,"2016","herg"
"105",443,2,"2016","herg"
"106",165,3,"2016","herg"
"107",159,3,"2016","herg"
"108",436,3,"2016","herg"
"109",193,3,"2016","herg"
"110",21,3,"2016","herg"
"111",372,3,"2016","herg"
"112",160,1,"2016","herg"
"113",283,3,"2016","herg"
