"","flag","clutch","location","year","species"
"1","71",1,"East Side 08:16","2018","herg"
"2","4",2,NA,"2018","herg"
"3","8",3,NA,"2018","herg"
"4","74",2,NA,"2018","herg"
"5","B43",2,NA,"2018","herg"
"6","B23",2,NA,"2018","herg"
"7","66",3,NA,"2018","herg"
"8","299",3,NA,"2018","herg"
"9","293",3,NA,"2018","herg"
"10","137",3,NA,"2018","herg"
"11","6",1,NA,"2018","herg"
"12","33",3,NA,"2018","herg"
"13","263",3,NA,"2018","herg"
"14","138",3,NA,"2018","herg"
"15","352",3,NA,"2018","herg"
"16","34",3,NA,"2018","herg"
"17","454",3,NA,"2018","herg"
"18","264",3,NA,"2018","herg"
"19","145",3,NA,"2018","herg"
"20","134",3,NA,"2018","herg"
"21","300",3,NA,"2018","herg"
"22","238",2,NA,"2018","herg"
"23","397",3,NA,"2018","herg"
"24","298",3,NA,"2018","herg"
"25","243",3,NA,"2018","herg"
"26","111",1,NA,"2018","herg"
"27","394",3,NA,"2018","herg"
"28","51",3,NA,"2018","herg"
"29","194",2,NA,"2018","herg"
"30","247",2,NA,"2018","herg"
"31","390",3,NA,"2018","herg"
"32","468",3,NA,"2018","herg"
"33","395",3,NA,"2018","herg"
"34","144",2,NA,"2018","herg"
"35","231",3,NA,"2018","herg"
"36","480",3,NA,"2018","herg"
"37","84",3,NA,"2018","herg"
"38","461",3,NA,"2018","herg"
"39","118",3,NA,"2018","herg"
"40","459",3,NA,"2018","herg"
"41","349",3,NA,"2018","herg"
"42","266",3,NA,"2018","herg"
"43","337",3,NA,"2018","herg"
"44","128",2,NA,"2018","herg"
"45","457",2,NA,"2018","herg"
"46","44",3,NA,"2018","herg"
"47","491",3,NA,"2018","herg"
"48","351",3,NA,"2018","herg"
"49","55",2,NA,"2018","herg"
"50","398",3,NA,"2018","herg"
"51","479",3,NA,"2018","herg"
"52","483",1,NA,"2018","herg"
"53","392",3,NA,"2018","herg"
"54","401",2,NA,"2018","herg"
"55","381",3,NA,"2018","herg"
"56","126",3,NA,"2018","herg"
"57","335",3,NA,"2018","herg"
"58","490",2,NA,"2018","herg"
"59","123",3,NA,"2018","herg"
"60","478",3,NA,"2018","herg"
"61","328",3,NA,"2018","herg"
"62","452",2,NA,"2018","herg"
"63","130",3,NA,"2018","herg"
"64","383",2,NA,"2018","herg"
"65","482",3,NA,"2018","herg"
"66","380",3,NA,"2018","herg"
"67","384",3,NA,"2018","herg"
"68","329",3,NA,"2018","herg"
"69","476",3,NA,"2018","herg"
"70","56",1,NA,"2018","herg"
"71","481",1,NA,"2018","herg"
"72","379",3,NA,"2018","herg"
"73","120",3,NA,"2018","herg"
"74","474",3,NA,"2018","herg"
"75","475",1,NA,"2018","herg"
"76","129",3,NA,"2018","herg"
"77","230",3,NA,"2018","herg"
"78","473",2,NA,"2018","herg"
"79","121",3,NA,"2018","herg"
"80","472",3,NA,"2018","herg"
"81","48",3,NA,"2018","herg"
"82","332",2,NA,"2018","herg"
"83","464",3,NA,"2018","herg"
"84","117",3,NA,"2018","herg"
"85","116",3,NA,"2018","herg"
"86","465",3,NA,"2018","herg"
"87","456",3,NA,"2018","herg"
"88","353",2,NA,"2018","herg"
"89","275",2,NA,"2018","herg"
"90","455",3,NA,"2018","herg"
"91","460",3,NA,"2018","herg"
"92","320",3,NA,"2018","herg"
"93","316",3,NA,"2018","herg"
"94","325",3,NA,"2018","herg"
"95","3",3,NA,"2018","herg"
"96","333",3,NA,"2018","herg"
"97","319",3,NA,"2018","herg"
"98","12",3,NA,"2018","herg"
"99","322",2,NA,"2018","herg"
"100","378",3,NA,"2018","herg"
"101","98",1,NA,"2018","herg"
"102","292",3,NA,"2018","herg"
"103","377",2,NA,"2018","herg"
"104","383",3,NA,"2018","herg"
"105","58",3,NA,"2018","herg"
"106","20",3,NA,"2018","herg"
"107","450",3,NA,"2018","herg"
"108","207",3,NA,"2018","herg"
"109","115",3,NA,"2018","herg"
"110","458",2,NA,"2018","herg"
"111","119",2,NA,"2018","herg"
"112","451",3,NA,"2018","herg"
"113","219",1,NA,"2018","herg"
"114","114",3,NA,"2018","herg"
"115","122",3,NA,"2018","herg"
"116","259",1,NA,"2018","herg"
"117","294",3,NA,"2018","herg"
"118","141",3,NA,"2018","herg"
"119","402",3,NA,"2018","herg"
"120","280",3,NA,"2018","herg"
"121","139",3,NA,"2018","herg"
"122","463",3,NA,"2018","herg"
"123","286",3,NA,"2018","herg"
"124","13",3,NA,"2018","herg"
"125","158",3,NA,"2018","herg"
"126","203",1,NA,"2018","herg"
"127","B52",1,NA,"2018","herg"
"128","34",3,NA,"2018","herg"
"129","470",1,NA,"2018","herg"
"130","86",5,NA,"2018","coei"
"131","429",1,NA,"2018","herg"
"132","372",3,NA,"2018","herg"
"133","32",1,NA,"2018","herg"
"134","276",2,NA,"2018","herg"
"135","382",2,NA,"2018","herg"
"136","142",2,NA,"2018","herg"
"137","370",1,NA,"2018","herg"
"138","27",2,NA,"2018","herg"
"139","396",3,NA,"2018","herg"
"140","375",3,NA,"2018","herg"
"141","250",3,NA,"2018","herg"
"142","11",1,NA,"2018","herg"
"143","326",2,NA,"2018","herg"
"144","24",2,NA,"2018","herg"
"145","306",3,NA,"2018","herg"
"146","393",3,NA,"2018","herg"
"147","318",3,NA,"2018","herg"
"148","312",2,NA,"2018","herg"
"149","391",3,NA,"2018","herg"
"150","B53",3,NA,"2018","herg"
"151","466",3,NA,"2018","herg"
"152","385",3,NA,"2018","herg"
"153","90",2,NA,"2018","herg"
"154","484",1,NA,"2018","herg"
"155","471",1,NA,"2018","herg"
"156","453",3,NA,"2018","herg"
"157","169",1,NA,"2018","herg"
"158","462",2,NA,"2018","herg"
"159","400",2,NA,"2018","herg"
"160","B18",3,NA,"2018","herg"
"161","350",3,NA,"2018","herg"
"162","B55",1,NA,"2018","herg"
"163","327",3,NA,"2018","herg"
"164","440",1,NA,"2018","herg"
"165","314",3,NA,"2018","herg"
"166","B57",3,NA,"2018","herg"
"167","146",1,NA,"2018","herg"
"168","331",1,NA,"2018","herg"
"169","469",1,NA,"2018","herg"
"170","157",1,NA,"2018","herg"
"171","242",3,NA,"2018","herg"
"172","52",3,NA,"2018","herg"
"173","143",3,NA,"2018","herg"
"174","399",2,NA,"2018","herg"
"175","197",3,NA,"2018","herg"
"176","33",1,NA,"2018","herg"
"177","308",3,NA,"2018","herg"
"178","205",3,NA,"2018","herg"
"179","406",3,NA,"2018","herg"
"180","200",4,NA,"2018","herg"
"181","21",2,NA,"2018","herg"
"182","404",2,NA,"2018","herg"
"183","163",3,NA,"2018","herg"
"184","303",3,NA,"2018","herg"
"185","193",3,NA,"2018","herg"
"186","492",3,NA,"2018","herg"
"187","409",1,NA,"2018","herg"
"188","307",3,NA,"2018","herg"
"189","199",2,NA,"2018","herg"
"190","447",2,NA,"2018","herg"
"191","301",3,NA,"2018","herg"
"192","365",3,NA,"2018","herg"
"193","198",3,NA,"2018","herg"
"194","19",2,NA,"2018","herg"
"195","77",1,NA,"2018","herg"
"196","85",3,NA,"2018","herg"
"197","97",3,NA,"2018","herg"
"198","73",1,NA,"2018","herg"
"199","82",1,NA,"2018","herg"
"200","65",3,NA,"2018","herg"
"201","477",3,NA,"2018","herg"
"202","31",2,NA,"2018","herg"
"203","150",2,NA,"2018","herg"
"204","151",3,NA,"2018","herg"
"205","99",2,NA,"2018","herg"
"206","317",3,NA,"2018","herg"
"207","430",3,NA,"2018","herg"
"208","386",2,NA,"2018","herg"
"209","95",1,NA,"2018","herg"
"210","188",1,NA,"2018","herg"
"211","87",3,NA,"2018","herg"
"212","89",3,NA,"2018","herg"
"213","419",2,NA,"2018","herg"
"214","209",3,NA,"2018","herg"
"215","28",2,NA,"2018","herg"
"216","441",3,NA,"2018","herg"
"217","309",3,NA,"2018","herg"
"218","217",3,NA,"2018","herg"
"219","83",2,NA,"2018","herg"
"220","336",3,NA,"2018","herg"
"221","B54",3,NA,"2018","herg"
"222","67",3,NA,"2018","herg"
"223","25",3,NA,"2018","herg"
"224","109",3,NA,"2018","herg"
"225","18",3,NA,"2018","herg"
"226","425",1,NA,"2018","herg"
"227","23",3,NA,"2018","herg"
"228","270",2,NA,"2018","herg"
"229","278",3,NA,"2018","herg"
"230","442",3,NA,"2018","herg"
"231","449",3,NA,"2018","herg"
"232","147",3,NA,"2018","herg"
"233","22",3,NA,"2018","herg"
"234","315",3,NA,"2018","herg"
"235","39",2,NA,"2018","herg"
"236","423",2,NA,"2018","herg"
"237","310",3,NA,"2018","herg"
"238","255",1,NA,"2018","herg"
"239","191",3,NA,"2018","herg"
"240","7",1,NA,"2018","herg"
"241","190",2,NA,"2018","herg"
"242","361",2,NA,"2018","herg"
"243","152",1,NA,"2018","herg"
"244","43",1,NA,"2018","herg"
"245","177",3,NA,"2018","herg"
"246","40",1,NA,"2018","herg"
"247","285",1,NA,"2018","herg"
"248","156",1,NA,"2018","herg"
"249","364",3,NA,"2018","herg"
"250","42",1,NA,"2018","herg"
"251","271",3,NA,"2018","herg"
"252","140",3,NA,"2018","herg"
"253","317",1,NA,"2018","herg"
"254","426",3,NA,"2018","herg"
"255","345",1,NA,"2018","herg"
"256","5",3,NA,"2018","herg"
"257","112",3,NA,"2018","herg"
"258","132",2,NA,"2018","herg"
"259","100",3,NA,"2018","herg"
"260","78",3,NA,"2018","herg"
"261","446",1,NA,"2018","herg"
"262","46",2,NA,"2018","herg"
"263","445",3,NA,"2018","herg"
"264","29",3,NA,"2018","herg"
"265","236",3,NA,"2018","herg"
"266","313",1,NA,"2018","herg"
"267","232",2,NA,"2018","herg"
"268","51",3,NA,"2018","herg"
"269","487",3,NA,"2018","herg"
"270","60",1,NA,"2018","herg"
"271","101",1,NA,"2018","herg"
"272","324",2,NA,"2018","herg"
"273","211",2,NA,"2018","herg"
"274","9",2,NA,"2018","herg"
"275","485",3,NA,"2018","herg"
"276","374",2,NA,"2018","herg"
"277","488",3,NA,"2018","herg"
"278","127",1,NA,"2018","herg"
"279","104",3,NA,"2018","herg"
"280","288",3,NA,"2018","herg"
"281","54",2,NA,"2018","herg"
"282","499",3,NA,"2018","herg"
"283","160",3,NA,"2018","herg"
"284","489",3,NA,"2018","herg"
"285","159",1,NA,"2018","herg"
"286","154",3,NA,"2018","herg"
"287","50",3,NA,"2018","herg"
"288","204",2,NA,"2018","herg"
"289","91",3,NA,"2018","herg"
"290","155",3,NA,"2018","herg"
"291","387",3,NA,"2018","herg"
"292","213",3,NA,"2018","herg"
"293","486",3,NA,"2018","herg"
"294","341",3,NA,"2018","herg"
"295","405",4,NA,"2018","herg"
"296","45",2,NA,"2018","herg"
"297","41",3,NA,"2018","herg"
"298","37",3,NA,"2018","herg"
"299","407",3,NA,"2018","herg"
"300","62",1,NA,"2018","herg"
"301","411",3,NA,"2018","herg"
"302","403",3,NA,"2018","herg"
"303","422",3,NA,"2018","herg"
"304","153",3,NA,"2018","herg"
"305","416",3,NA,"2018","herg"
"306","16",3,NA,"2018","herg"
"307","148",3,NA,"2018","herg"
"308","49",3,NA,"2018","herg"
"309","2",2,NA,"2018","coei"
"310","222",3,NA,"2018","herg"
"311","176",1,NA,"2018","herg"
"312","47",1,NA,"2018","herg"
"313","241",3,NA,"2018","herg"
"314","149",3,NA,"2018","herg"
"315","64",2,NA,"2018","herg"
"316","53",2,NA,"2018","herg"
"317","164",2,NA,"2018","herg"
