"","flag","clutch","year","location","species"
"1",81,"2","2004","boardwalk","herg"
"2",85,"1","2004",NA,"herg"
"3",95,"2","2004","end of tower","herg"
"4",82,"3","2004","past tower","herg"
"5",71,"3","2004",NA,"herg"
"6",86,"3","2004",NA,"herg"
"7",12,"3","2004",NA,"herg"
"8",68,"3","2004",NA,"herg"
"9",42,"3","2004",NA,"herg"
"10",73,"3","2004",NA,"herg"
"11",1,"3","2004",NA,"herg"
"12",60,"3","2004",NA,"herg"
"13",32,"3","2004",NA,"herg"
"14",51,"3","2004",NA,"herg"
"15",75,"3","2004",NA,"herg"
"16",5,"3","2004",NA,"herg"
"17",76,"3","2004",NA,"herg"
"18",36,"3","2004",NA,"herg"
"19",31,"3","2004",NA,"herg"
"20",49,"2","2004",NA,"herg"
"21",70,"3","2004",NA,"herg"
"22",33,"3","2004",NA,"herg"
"23",16,"3","2004",NA,"herg"
"24",69,"3","2004",NA,"herg"
"25",2,"2","2004",NA,"herg"
"26",66,"3","2004",NA,"herg"
"27",34,"2","2004",NA,"herg"
"28",63,"3","2004",NA,"herg"
"29",64,"3","2004",NA,"herg"
"30",53,"3","2004",NA,"herg"
"31",35,"3","2004",NA,"herg"
"32",77,"1","2004",NA,"gbbg"
"33",23,"3","2004",NA,"herg"
"34",4,"3","2004",NA,"herg"
"35",104,"3","2004",NA,"herg"
"36",20,"3","2004",NA,"herg"
"37",79,"3","2004",NA,"herg"
"38",55,"3","2004",NA,"herg"
"39",39,"3","2004",NA,"herg"
"40",65,"3","2004",NA,"herg"
"41",10,"3","2004",NA,"herg"
"42",113,"3","2004",NA,"herg"
"43",30,"3","2004",NA,"herg"
"44",72,"3","2004",NA,"herg"
"45",15,"3","2004",NA,"herg"
"46",29,"3","2004",NA,"herg"
"47",57,"2","2004",NA,"herg"
"48",25,"3","2004",NA,"gbbg"
"49",38,"3","2004",NA,"herg"
"50",3,"3","2004",NA,"herg"
"51",78,"2","2004",NA,"herg"
"52",58,"3","2004",NA,"herg"
"53",21,"3","2004",NA,"herg"
"54",74,"2","2004",NA,"herg"
"55",54,"3","2004",NA,"herg"
"56",37,"2","2004",NA,"herg"
"57",19,"2","2004",NA,"herg"
"58",67,"3","2004",NA,"herg"
"59",80,"2","2004",NA,"herg"
"60",17,"3","2004",NA,"herg"
"61",56,"3","2004",NA,"herg"
"62",46,"3","2004",NA,"herg"
"63",61,"3","2004",NA,"herg"
"64",117,"3","2004",NA,"herg"
"65",50,"3","2004",NA,"herg"
"66",62,"3","2004",NA,"herg"
"67",119,"2","2004","400 nest?","gbbg"
"68",400,"3","2004",NA,"herg"
"69",28,"3","2004",NA,"herg"
"70",106,"3","2004",NA,"herg"
"71",9,"3","2004",NA,"herg"
"72",6,"3","2004",NA,"herg"
"73",88,"3","2004",NA,"herg"
"74",59,"3","2004",NA,"herg"
"75",8,"1","2004",NA,"herg"
"76",83,"2","2004",NA,"herg"
"77",84,"2","2004",NA,"gbbg"
"78",47,"3","2004",NA,"herg"
"79",92,"3","2004",NA,"herg"
"80",107,"3","2004",NA,"herg"
"81",96,"3","2004",NA,"herg"
"82",120,"3","2004",NA,"herg"
"83",11,"3","2004",NA,"herg"
"84",98,"3","2004",NA,"herg"
"85",99,"2","2004",NA,"herg"
"86",14,"3","2004",NA,"herg"
"87",116,"1","2004",NA,"gbbg"
"88",102,"2","2004",NA,"gbbg"
"89",97,"2","2004",NA,"gbbg"
"90",121,"4","2004",NA,"gbbg"
"91",91,"3","2004",NA,"herg"
"92",104,"3","2004",NA,"herg"
"93",43,"1","2004",NA,"gbbg"
"94",13,"3","2004",NA,"gbbg"
"95",86,"3","2004",NA,"herg"
"96",94,"3","2004",NA,"herg"
"97",84,"3","2004",NA,"herg"
"98",115,"3","2004",NA,"herg"
"99",105,"3","2004",NA,"herg"
"100",112,"2","2004",NA,"herg"
"101",122,"2","2004",NA,"gbbg"
"102",92,"2","2004",NA,"herg"
"103",111,"1","2004",NA,"herg"
"104",22,"1","2004",NA,"gbbg"
"105",124,"1","2004",NA,"gbbg"
"106",48,"2","2004",NA,"herg"
"107",118,"3","2004",NA,"herg"
"108",44,"1","2004",NA,"gbbg"
"109",24,NA,"2004",NA,"gbbg"
"110",7,"3","2004",NA,"gbbg"
"111",89,"2","2004",NA,"herg"
"112",18,"3","2004",NA,"gbbg"
"113",123,"3","2004",NA,"gbbg"
"114",87,"3","2004",NA,"herg"
"115",103,"1","2004",NA,"gbbg"
"116",125,"3","2004",NA,"gbbg"
"117",108,"3","2004",NA,"herg"
"118",110,"3","2004",NA,"herg"
"119",127,"1","2004",NA,"gbbg"
"120",109,"3","2004",NA,"gbbg"
"121",45,"2","2004",NA,"herg"
"122",41,"3","2004",NA,"herg"
"123",126,"1","2004",NA,"gbbg"
"124",52,"2","2004",NA,"herg"
"125",31,"2","2004",NA,"gbbg"
"126",128,"3","2004",NA,"gbbg"
"127",90,"?","2004",NA,"gbbg"
"128",40,"3","2004",NA,"herg"
"129",101,"2","2004",NA,"herg"
"130",93,"3","2004",NA,"herg"
"131",114,"2","2004",NA,"herg"
"132",129,"1","2004",NA,"gbbg"
"133",116,"2","2004",NA,"gbbg"
"134",133,"2","2004",NA,"gbbg"
"135",136,"2","2004",NA,"herg"
"136",153,"3","2004",NA,"herg"
"137",152,"3","2004",NA,"herg"
"138",143,"3","2004",NA,"herg"
"139",148,"4","2004",NA,"herg"
"140",150,"3","2004",NA,"herg"
"141",149,"3","2004",NA,"herg"
"142",158,"3","2004",NA,"herg"
"143",132,"3","2004",NA,"gbbg"
"144",141,"3","2004",NA,"herg"
"145",146,"2","2004",NA,"herg"
"146",164,"3","2004",NA,"gbbg"
"147",139,"1","2004",NA,"herg"
"148",168,"3","2004",NA,"gbbg"
"149",135,"3","2004",NA,"herg"
"150",138,"3","2004",NA,"herg"
"151",157,"3","2004",NA,"herg"
"152",161,"2","2004",NA,"herg"
"153",154,"2","2004",NA,"herg"
"154",140,"1","2004",NA,"herg"
"155",167,"3","2004",NA,"herg"
"156",131,"3","2004",NA,"herg"
"157",147,"1","2004",NA,"herg"
"158",134,"1","2004",NA,"herg"
"159",165,"3","2004",NA,"herg"
"160",186,"3","2004",NA,"herg"
"161",176,"3","2004",NA,"herg"
"162",200,"3","2004",NA,"herg"
"163",160,"3","2004",NA,"herg"
"164",145,"3","2004",NA,"herg"
"165",197,"1","2004",NA,"herg"
"166",180,"3","2004",NA,"herg"
"167",191,"1","2004",NA,"herg"
"168",181,"1","2004",NA,"herg"
"169",183,"3","2004",NA,"herg"
"170",166,"3","2004",NA,"herg"
"171",130,"3","2004",NA,"herg"
"172",162,"3","2004",NA,"herg"
"173",198,"2","2004",NA,"herg"
"174",178,"3","2004",NA,"herg"
"175",159,"1","2004",NA,"herg"
"176",194,"2","2004",NA,"herg"
"177",143,"3","2004",NA,"herg"
"178",163,"3","2004",NA,"herg"
"179",230,"0","2004",NA,"gbbg"
"180",155,"2","2004",NA,"herg"
"181",246,"2","2004","end of east","herg"
"182",151,"2","2004","west of boardwalk","herg"
"183",227,"2","2004","next to wood pile","herg"
"184",199,"1","2004",NA,"herg"
"185",179,"2","2004","start of generator","herg"
"186",188,"2","2004",NA,"herg"
"187",187,"3","2004",NA,"herg"
"188",184,"2","2004",NA,"herg"
"189",137,"3","2004",NA,"herg"
"190",185,"1","2004",NA,"herg"
"191",175,"3","2004",NA,"herg"
"192",217,"3","2004",NA,"herg"
"193",184,"3","2004",NA,"herg"
"194",216,"3","2004",NA,"herg"
"195",231,"3","2004",NA,"gbbg"
"196",189,"3","2004",NA,"herg"
"197",228,"3","2004",NA,"herg"
"198",229,"1","2004",NA,"herg"
"199",144,"1","2004",NA,"herg"
"200",190,"3","2004",NA,"herg"
"201",215,"2","2004",NA,"herg"
"202",219,"3","2004",NA,"herg"
"203",170,"3","2004",NA,"herg"
"204",174,"3","2004",NA,"herg"
"205",218,"3","2004",NA,"herg"
"206",214,"2","2004","end of boat house","herg"
"207",202,"3","2004",NA,"herg"
"208",151,"3","2004",NA,"herg"
"209",173,"3","2004",NA,"herg"
"210",211,"3","2004",NA,"herg"
"211",172,"3","2004",NA,"herg"
"212",169,"3","2004",NA,"herg"
"213",193,"3","2004",NA,"herg"
"214",209,"3","2004",NA,"herg"
"215",177,"2","2004",NA,"herg"
"216",232,"0","2004",NA,"gbbg"
"217",213,"3","2004",NA,"herg"
"218",208,"2","2004",NA,"herg"
"219",203,"3","2004",NA,"herg"
"220",202,"1","2004","start of west side north","herg"
"221",194,"3","2004",NA,"gbbg"
"222",221,"2","2004",NA,"herg"
"223",210,"1","2004",NA,"herg"
"224",192,"3","2004",NA,"herg"
"225",195,"3","2004",NA,"herg"
"226",225,"3","2004",NA,"herg"
"227",156,"3","2004",NA,"herg"
"228",204,"3","2004",NA,"herg"
"229",207,"3","2004",NA,"herg"
"230",224,"1","2004",NA,"herg"
"231",196,"3","2004",NA,"gbbg"
"232",205,"3","2004",NA,"herg"
"233",212,"1","2004",NA,"gbbg"
"234",201,"3","2004",NA,"herg"
"235",223,"2","2004",NA,"herg"
"236",NA,NA,"2004",NA,"herg"
"237",NA,"3","2004",NA,"herg"
"238",NA,"2","2004",NA,"herg"
"239",NA,"3","2004",NA,"herg"
"240",NA,"3","2004",NA,"herg"
"241",NA,"3","2004",NA,"herg"
"242",NA,"3","2004",NA,"herg"
"243",NA,"2","2004",NA,"herg"
"244",NA,"3","2004",NA,"herg"
"245",NA,"3","2004",NA,"herg"
"246",NA,"3","2004",NA,"herg"
"247",NA,"2","2004",NA,"herg"
"248",NA,"3","2004",NA,"herg"
"249",NA,"2","2004",NA,"herg"
"250",NA,"2","2004",NA,"herg"
"251",NA,"3","2004",NA,"herg"
"252",NA,"3","2004",NA,"herg"
"253",NA,"3","2004",NA,"herg"
"254",NA,"2","2004",NA,"herg"
"255",NA,"2","2004",NA,"herg"
"256",NA,"3","2004",NA,"herg"
"257",NA,"3","2004",NA,"herg"
"258",NA,"3","2004",NA,"herg"
"259",NA,"3","2004",NA,"herg"
"260",NA,"3","2004",NA,"herg"
"261",NA,"2","2004",NA,"herg"
"262",NA,"3","2004",NA,"herg"
"263",NA,"2","2004",NA,"herg"
"264",NA,"1","2004",NA,"herg"
"265",NA,"3","2004",NA,"herg"
"266",NA,"2","2004",NA,"herg"
"267",NA,"3","2004",NA,"herg"
"268",NA,"3","2004",NA,"herg"
"269",NA,"3","2004",NA,"herg"
"270",NA,"3","2004",NA,"herg"
"271",NA,"2","2004",NA,"herg"
"272",NA,"2","2004",NA,"herg"
"273",NA,"2","2004",NA,"herg"
"274",NA,"3","2004",NA,"herg"
"275",NA,"3","2004",NA,"herg"
"276",NA,"3","2004",NA,"herg"
"277",NA,"3","2004",NA,"herg"
"278",NA,"3","2004",NA,"herg"
"279",NA,"2","2004",NA,"herg"
"280",NA,"3","2004",NA,"herg"
"281",NA,"2","2004",NA,"herg"
"282",NA,"3","2004",NA,"herg"
"283",NA,"3","2004",NA,"herg"
"284",NA,"3","2004",NA,"herg"
"285",NA,"2","2004",NA,"herg"
"286",NA,"3","2004",NA,"herg"
"287",NA,"2","2004",NA,"herg"
"288",NA,"3","2004",NA,"herg"
"289",NA,"3","2004",NA,"herg"
"290",NA,"3","2004",NA,"herg"
"291",NA,"3","2004",NA,"herg"
"292",NA,"2","2004",NA,"herg"
"293",NA,"3","2004",NA,"herg"
"294",NA,"3","2004",NA,"herg"
"295",NA,"3","2004",NA,"herg"
"296",NA,"3","2004",NA,"herg"
"297",NA,"3","2004",NA,"herg"
"298",NA,"3","2004",NA,"herg"
"299",NA,"3","2004",NA,"herg"
"300",NA,"3","2004",NA,"herg"
"301",NA,"3","2004",NA,"herg"
"302",NA,"3","2004",NA,"herg"
"303",NA,"3","2004",NA,"herg"
"304",NA,"3","2004",NA,"herg"
"305",NA,"3","2004",NA,"herg"
"306",NA,"3","2004",NA,"herg"
"307",NA,"2","2004",NA,"herg"
"308",NA,"3","2004",NA,"herg"
"309",NA,"2","2004",NA,"herg"
"310",NA,"3","2004",NA,"herg"
"311",NA,"3","2004",NA,"herg"
"312",NA,"3","2004",NA,"herg"
"313",NA,"3","2004",NA,"herg"
"314",NA,"3","2004",NA,"herg"
"315",NA,"1","2004",NA,"herg"
"316",NA,"2","2004",NA,"herg"
"317",NA,"2","2004",NA,"herg"
"318",NA,"2","2004",NA,"herg"
"319",NA,"1","2004",NA,"herg"
"320",NA,"2","2004",NA,"herg"
"321",NA,"2","2004",NA,"herg"
"322",NA,"3","2004",NA,"herg"
"323",NA,"3","2004",NA,"herg"
"324",NA,"3","2004",NA,"herg"
"325",NA,"3","2004",NA,"herg"
"326",NA,"3","2004",NA,"herg"
"327",NA,"3","2004",NA,"herg"
"328",NA,"3","2004",NA,"herg"
"329",NA,"2","2004",NA,"herg"
"330",NA,"3","2004",NA,"herg"
"331",NA,"3","2004",NA,"herg"
"332",NA,"3","2004",NA,"herg"
"333",NA,"1","2004",NA,"herg"
"334",NA,"3","2004",NA,"herg"
"335",NA,"2","2004",NA,"herg"
"336",NA,"3","2004",NA,"herg"
"337",NA,"2","2004",NA,"herg"
"338",NA,"1","2004",NA,"herg"
"339",NA,"2","2004",NA,"herg"
"340",NA,"3","2004",NA,"herg"
"341",NA,"2","2004",NA,"herg"
"342",NA,"3","2004",NA,"herg"
"343",NA,"3","2004",NA,"herg"
"344",NA,"2","2004",NA,"herg"
"345",NA,"2","2004",NA,"herg"
"346",NA,"3","2004",NA,"herg"
"347",NA,"3","2004",NA,"herg"
"348",NA,"3","2004",NA,"herg"
"349",NA,"1","2004",NA,"herg"
"350",NA,"3","2004",NA,"herg"
"351",NA,"3","2004",NA,"herg"
"352",NA,"3","2004",NA,"herg"
"353",NA,"3","2004",NA,"herg"
"354",NA,"1","2004",NA,"herg"
"355",NA,"3","2004",NA,"herg"
"356",NA,"1","2004",NA,"herg"
"357",NA,"3","2004",NA,"herg"
"358",NA,"3","2004",NA,"herg"
"359",NA,"3","2004",NA,"herg"
"360",NA,"3","2004",NA,"herg"
"361",NA,"3","2004",NA,"herg"
"362",NA,"2","2004",NA,"herg"
"363",NA,"3","2004",NA,"herg"
"364",NA,"3","2004",NA,"herg"
"365",NA,"3","2004",NA,"herg"
"366",NA,"2","2004",NA,"herg"
"367",NA,"3","2004",NA,"herg"
"368",NA,"3","2004",NA,"herg"
"369",NA,"3","2004",NA,"herg"
"370",NA,"2","2004",NA,"herg"
"371",NA,"3","2004",NA,"herg"
"372",NA,"2","2004",NA,"herg"
"373",NA,"3","2004",NA,"herg"
"374",NA,"3","2004",NA,"herg"
"375",NA,"3","2004",NA,"herg"
"376",NA,"2","2004",NA,"herg"
"377",NA,"2","2004",NA,"herg"
"378",NA,"3","2004",NA,"herg"
"379",NA,"3","2004",NA,"herg"
"380",NA,"3","2004",NA,"herg"
"381",NA,"3","2004",NA,"herg"
"382",NA,"3","2004",NA,"herg"
"383",NA,"3","2004",NA,"herg"
"384",NA,"2","2004",NA,"herg"
"385",NA,"3","2004",NA,"herg"
"386",NA,"3","2004",NA,"herg"
"387",NA,"3","2004",NA,"herg"
"388",NA,"3","2004",NA,"herg"
"389",NA,"2","2004",NA,"herg"
"390",NA,"3","2004",NA,"herg"
"391",NA,"3","2004",NA,"herg"
"392",NA,"3","2004",NA,"herg"
"393",NA,"3","2004",NA,"herg"
"394",NA,"3","2004",NA,"herg"
"395",NA,"3","2004",NA,"herg"
"396",NA,"3","2004",NA,"herg"
"397",NA,"2","2004",NA,"herg"
"398",NA,"3","2004",NA,"herg"
"399",NA,"3","2004",NA,"herg"
"400",NA,"3","2004",NA,"herg"
"401",NA,"3","2004",NA,"herg"
"402",NA,"3","2004",NA,"herg"
"403",NA,"2","2004",NA,"herg"
"404",NA,"3","2004",NA,"herg"
"405",NA,"2","2004",NA,"herg"
"406",NA,"3","2004",NA,"herg"
"407",NA,"3","2004",NA,"herg"
"408",NA,"1","2004",NA,"herg"
"409",NA,"2","2004",NA,"herg"
"410",NA,"2","2004",NA,"herg"
"411",NA,"3","2004",NA,"herg"
"412",NA,"3","2004",NA,"herg"
"413",NA,"3","2004",NA,"herg"
"414",NA,"3","2004",NA,"herg"
"415",NA,"2","2004",NA,"herg"
"416",NA,"2","2004",NA,"herg"
"417",NA,"2","2004",NA,"herg"
"418",NA,"2","2004",NA,"herg"
"419",NA,"3","2004",NA,"herg"
"420",NA,"2","2004",NA,"herg"
"421",NA,"3","2004",NA,"herg"
"422",NA,"2","2004",NA,"herg"
"423",NA,"3","2004",NA,"herg"
"424",NA,"3","2004",NA,"herg"
"425",NA,"3","2004",NA,"herg"
"426",NA,"3","2004",NA,"herg"
"427",NA,"3","2004",NA,"herg"
"428",NA,"3","2004",NA,"herg"
"429",NA,"3","2004",NA,"herg"
"430",NA,"3","2004",NA,"herg"
"431",NA,"3","2004",NA,"herg"
"432",NA,"1","2004",NA,"herg"
"433",NA,"3","2004",NA,"herg"
"434",NA,"3","2004",NA,"herg"
"435",NA,"3","2004",NA,"herg"
"436",NA,"3","2004",NA,"herg"
"437",NA,"3","2004",NA,"herg"
"438",NA,"3","2004",NA,"herg"
"439",NA,"3","2004",NA,"herg"
"440",NA,"1","2004",NA,"herg"
"441",NA,"1","2004",NA,"herg"
"442",NA,"3","2004",NA,"herg"
"443",NA,"2","2004",NA,"herg"
"444",NA,"3","2004",NA,"herg"
"445",NA,"3","2004",NA,"herg"
"446",NA,"3","2004",NA,"herg"
"447",NA,"3","2004","end of west side north","herg"
"448",NA,"3","2004","start of point colony","herg"
"449",NA,"3","2004",NA,"herg"
"450",NA,"3","2004",NA,"herg"
"451",NA,"3","2004",NA,"herg"
"452",NA,"1","2004",NA,"herg"
"453",NA,"3","2004",NA,"herg"
"454",NA,"3","2004",NA,"herg"
"455",NA,"3","2004",NA,"herg"
"456",NA,"2","2004",NA,"herg"
"457",NA,"3","2004",NA,"herg"
"458",NA,"3","2004",NA,"herg"
"459",NA,"3","2004",NA,"herg"
"460",NA,"3","2004",NA,"herg"
"461",NA,"2","2004",NA,"herg"
"462",NA,"3","2004",NA,"herg"
"463",NA,"3","2004",NA,"herg"
"464",NA,"3","2004",NA,"herg"
"465",NA,"3","2004",NA,"herg"
"466",NA,"3","2004",NA,"herg"
"467",NA,"3","2004",NA,"herg"
"468",NA,"3","2004",NA,"herg"
"469",NA,"3","2004",NA,"herg"
"470",NA,"3","2004",NA,"herg"
"471",NA,"3","2004",NA,"herg"
"472",NA,"3","2004",NA,"herg"
"473",NA,"3","2004",NA,"herg"
"474",NA,"3","2004",NA,"herg"
"475",NA,"3","2004",NA,"herg"
"476",NA,"2","2004",NA,"herg"
"477",NA,"3","2004",NA,"herg"
"478",NA,"2","2004",NA,"herg"
"479",NA,"3","2004",NA,"herg"
"480",NA,"3","2004",NA,"herg"
"481",NA,"3","2004",NA,"herg"
"482",NA,"3","2004",NA,"herg"
"483",NA,"3","2004",NA,"herg"
"484",NA,"2","2004",NA,"herg"
"485",NA,"2","2004",NA,"herg"
"486",NA,"3","2004",NA,"herg"
"487",NA,"3","2004",NA,"herg"
"488",NA,"1","2004",NA,"herg"
"489",NA,"3","2004",NA,"herg"
"490",NA,"3","2004",NA,"herg"
"491",NA,"3","2004",NA,"herg"
"492",NA,"3","2004",NA,"herg"
"493",NA,"3","2004",NA,"herg"
"494",NA,"3","2004",NA,"herg"
"495",NA,"3","2004",NA,"herg"
"496",NA,"2","2004",NA,"herg"
"497",NA,"1","2004",NA,"herg"
"498",NA,"3","2004",NA,"herg"
"499",NA,"3","2004",NA,"herg"
"500",NA,"2","2004",NA,"herg"
"501",NA,"3","2004",NA,"herg"
"502",NA,"3","2004",NA,"herg"
"503",NA,"3","2004",NA,"herg"
"504",NA,"3","2004",NA,"herg"
"505",NA,"3","2004",NA,"herg"
"506",NA,"1","2004",NA,"herg"
"507",NA,"2","2004",NA,"herg"
"508",NA,"3","2004",NA,"herg"
"509",NA,"3","2004",NA,"herg"
"510",NA,"3","2004",NA,"herg"
"511",NA,"3","2004",NA,"herg"
"512",NA,"2","2004",NA,"herg"
"513",NA,"3","2004",NA,"herg"
"514",NA,"3","2004",NA,"herg"
"515",NA,"2","2004",NA,"herg"
"516",NA,"2","2004",NA,"herg"
"517",NA,"3","2004",NA,"herg"
"518",NA,"3","2004","end of point colony","herg"
"519",NA,"3","2004","start of cabin colony","herg"
"520",NA,"3","2004",NA,"herg"
"521",NA,"3","2004",NA,"herg"
"522",NA,"2","2004",NA,"herg"
"523",NA,"2","2004",NA,"herg"
"524",NA,"2","2004",NA,"herg"
"525",NA,"3","2004",NA,"herg"
"526",NA,"1","2004",NA,"herg"
"527",NA,"2","2004",NA,"herg"
"528",NA,"3","2004",NA,"herg"
"529",NA,"3","2004",NA,"herg"
"530",NA,"3","2004",NA,"herg"
"531",NA,"3","2004",NA,"herg"
"532",NA,"3","2004",NA,"herg"
"533",NA,"3","2004",NA,"herg"
"534",NA,"3","2004",NA,"herg"
"535",NA,"1","2004",NA,"herg"
"536",NA,"3","2004",NA,"herg"
"537",NA,"3","2004",NA,"herg"
"538",NA,"1","2004",NA,"herg"
"539",NA,"3","2004",NA,"herg"
"540",NA,"3","2004",NA,"herg"
"541",NA,"3","2004",NA,"herg"
"542",NA,"1","2004",NA,"herg"
"543",NA,"1","2004",NA,"herg"
"544",NA,"3","2004",NA,"herg"
"545",NA,"1","2004",NA,"herg"
"546",NA,"3","2004",NA,"herg"
"547",NA,"3","2004",NA,"herg"
"548",NA,"3","2004",NA,"herg"
"549",NA,"3","2004",NA,"herg"
"550",NA,"3","2004",NA,"herg"
"551",NA,"3","2004",NA,"herg"
"552",NA,"3","2004",NA,"herg"
"553",NA,"2","2004",NA,"herg"
"554",NA,"3","2004",NA,"herg"
"555",NA,"3","2004",NA,"herg"
"556",NA,"2","2004",NA,"herg"
"557",NA,"3","2004",NA,"herg"
"558",NA,"3","2004",NA,"herg"
"559",NA,"2","2004",NA,"herg"
"560",NA,"1","2004",NA,"herg"
"561",NA,"3","2004",NA,"herg"
"562",NA,"3","2004",NA,"herg"
"563",NA,"1","2004",NA,"herg"
"564",NA,"2","2004",NA,"herg"
"565",NA,"2","2004",NA,"herg"
"566",NA,"3","2004",NA,"herg"
"567",NA,"1","2004",NA,"herg"
"568",NA,"2","2004",NA,"herg"
"569",NA,"3","2004",NA,"herg"
"570",NA,"3","2004",NA,"herg"
"571",NA,"3","2004",NA,"herg"
"572",NA,"3","2004",NA,"herg"
"573",NA,"2","2004",NA,"herg"
"574",NA,"2","2004",NA,"herg"
"575",NA,"3","2004",NA,"herg"
"576",NA,"1","2004",NA,"herg"
"577",NA,"3","2004",NA,"herg"
"578",NA,"3","2004",NA,"herg"
"579",NA,"2","2004",NA,"herg"
"580",NA,"3","2004",NA,"herg"
"581",NA,"1","2004",NA,"herg"
"582",NA,"2","2004",NA,"herg"
"583",NA,"3","2004",NA,"herg"
"584",NA,"3","2004",NA,"herg"
"585",NA,"2","2004",NA,"herg"
"586",NA,"3","2004",NA,"herg"
"587",NA,"3","2004",NA,"herg"
"588",NA,"3","2004",NA,"herg"
"589",NA,"3","2004",NA,"herg"
"590",NA,"3","2004",NA,"herg"
"591",NA,"3","2004",NA,"herg"
"592",NA,"3","2004",NA,"herg"
