"","flag","year","species","clutch"
"213","118",2022,"herg","3"
"214","706",2022,"herg","3"
"215","487",2022,"herg","3"
"216","670",2022,"herg","3"
"217","329",2022,"herg","2"
"218","128",2022,"herg","3"
"219","122",2022,"herg","3"
"220","399",2022,"herg","2"
"221","196",2022,"herg","3"
"222","254",2022,"herg","3"
"223","669",2022,"herg","3"
"224","387",2022,"herg","3"
"225","753",2022,"herg","3"
"226","729",2022,"herg","3"
"227","405",2022,"herg","2"
"228","733",2022,"herg","3"
"229","369",2022,"herg","2"
"230","231",2022,"herg","3"
"231","45",2022,"herg","3"
"232","498",2022,"herg","3"
"233","112",2022,"herg","2"
"234","52",2022,"herg","3"
"235","713",2022,"herg","3"
"236","3",2022,"herg","3"
"237","494",2022,"herg","2"
"238","165",2022,"herg","3"
"239","1",2022,"herg","2"
"240","721",2022,"herg","3"
"241","116",2022,"herg","3"
"242","447",2022,"herg","3"
"243","110",2022,"herg","3"
"244","119",2022,"herg","3"
"245","640",2022,"herg","3"
"246","737",2022,"herg","3"
"247","532",2022,"herg","2"
"248","41",2022,"herg","2"
"249","726",2022,"herg","3"
"250","394",2022,"herg","3"
"251","567",2022,"herg","3"
"252","736",2022,"herg","3"
"253","484",2022,"herg","2"
"254","272",2022,"herg","3"
"255","435",2022,"herg","3"
"256","617",2022,"herg","2"
"257","431",2022,"herg","2"
"258","754",2022,"herg","3"
"259","423",2022,"herg","3"
"260","109",2022,"herg","3"
"261","658",2022,"herg","1"
"262","4",2022,"herg","3"
"263","407",2022,"herg","3"
"264","237",2022,"herg","1"
"265","429",2022,"herg","3"
"266","679",2022,"herg","3"
"267","341",2022,"herg","3"
"268","18",2022,"herg","2"
"269","416",2022,"herg","3"
"270","580",2022,"herg","3"
"271","102",2022,"herg","3"
"272","249",2022,"herg","3"
"273","70",2022,"herg","3"
"274","633",2022,"herg","0"
"275","251",2022,"herg","251"
"276","684",2022,"herg","1"
"277","226",2022,"herg","3"
"278","158",2022,"herg","1"
"279","48",2022,"herg","3"
"280","444",2022,"herg","3"
"281","242",2022,"herg","3"
"282","478",2022,"herg","3"
"283","259",2022,"herg","3"
"284","482",2022,"herg","3"
"285","153",2022,"herg","1"
"286","162",2022,"herg","2"
"287","476",2022,"herg","3"
"288","46",2022,"herg","3"
"289","287",2022,"herg","3"
"290","468",2022,"herg","3"
"291","65",2022,"herg","3"
"292","557",2022,"herg","3"
"293","86",2022,"herg","3"
"294","166",2022,"herg","3"
"295","558",2022,"herg","3"
"296","326",2022,"herg","3"
"297","31",2022,"herg","3"
"298","477",2022,"herg","2"
"299","264",2022,"herg","3"
"300","82",2022,"herg","2"
"301","626",2022,"herg","3"
"302","76",2022,"herg","3"
"303","100",2022,"herg","3"
"304","83",2022,"herg","3"
"305","11",2022,"herg","3"
"306","54",2022,"herg","3"
"307","91",2022,"herg","3"
"308","32",2022,"herg","3"
"309","548",2022,"herg","2"
"310","728",2022,"herg","3"
"311","361",2022,"herg","3"
"312","653",2022,"herg","3"
"313","79",2022,"herg","3"
"314","438",2022,"herg","3"
"315","457",2022,"herg","2"
"316","402",2022,"herg","2"
"317","66",2022,"herg","2"
"318","309",2022,"herg","3"
"319","420",2022,"herg","3"
"320","555",2022,"gbbg","3"
"321","455",2022,"herg","2"
"322","72",2022,"herg","3"
"323","439",2022,"herg","3"
"324","114",2022,"herg","3"
"325","143",2022,"herg","3"
"326","81",2022,"herg","3"
"327","528",2022,"herg","2"
"328","424",2022,"herg","3"
"329","561",2022,"herg","3"
"330","569",2022,"herg","3"
"331","593",2022,"herg","2"
"332","586",2022,"herg","3"
"333","221",2022,"herg","3"
"334","718",2022,"herg","3"
"335","592",2022,"herg","3"
"336","229",2022,"herg","2"
"337","534",2022,"herg","3"
"338","88",2022,"herg","3"
"339","641",2022,"herg","3"
"340","404",2022,"herg","3"
"341","537",2022,"herg","3"
"342","296",2022,"herg","1"
"343","741",2022,"herg","3"
"344","164",2022,"herg","3"
"345","663",2022,"herg","2"
"346","437",2022,"herg","2"
"347","731",2022,"herg","2"
"348","547",2022,"herg","3"
"349","454",2022,"herg","3"
"350","338",2022,"herg","3"
"351","607",2022,"herg","1"
"352","540",2022,"herg","3"
"353","342",2022,"herg","3"
"354","412",2022,"herg","3"
"355","177",2022,"herg","3"
"356","146",2022,"herg","3"
"357","513",2022,"herg","3"
"358","85",2022,"herg","3"
"359","533",2022,"herg","3"
"360","587",2022,"herg","3"
"361","458",2022,"herg","3"
"362","283",2022,"herg","3"
"363","39",2022,"herg","3"
"364","323",2022,"herg","3"
"365","9",2022,"herg","3"
"366","584",2022,"herg","3"
"367","543",2022,"herg","2"
"368","433",2022,"herg","3"
"369","730",2022,"herg","3"
"370","147",2022,"herg","2"
"371","35",2022,"herg","2"
"372","674",2022,"herg","3"
"373","541",2022,"herg","3"
"374","295",2022,"herg","3"
"375","140",2022,"herg","3"
"376","519",2022,"herg","3"
"377","425",2022,"herg","1"
"378","497",2022,"herg","2"
"379","674",2022,"herg","3"
"380","504",2022,"herg","3"
"381","111",2022,"herg","3"
"382","354",2022,"herg","3"
"383","117",2022,"herg","3"
"384","746",2022,"herg","3"
"385","577",2022,"herg","3"
"386","436",2022,"herg","3"
"387","93",2022,"herg","3"
"388","393",2022,"herg","2"
"389","257",2022,"herg","3"
"390","141",2022,"herg","3"
"391","570",2022,"herg","2"
"392","723",2022,"herg","2"
"393","325",2022,"herg","3"
"394","87",2022,"herg","3"
"395","410",2022,"herg","3"
"396","286",2022,"herg","3"
"397","356",2022,"herg","3"
"398","25",2022,"herg","3"
"399","461",2022,"herg","3"
"400","664",2022,"herg","3"
"401","426",2022,"herg","3"
"402","750",2022,"herg","3"
"403","523",2022,"herg","3"
"404","606",2022,"herg","3"
"405","123",2022,"herg","3"
"406","95",2022,"herg","3"
"407","212",2022,"herg","3"
"408","479",2022,"herg","3"
"409","365",2022,"herg","3"
"410","293",2022,"herg","2"
"411","769",2022,"herg","3"
"412","129",2022,"herg","2"
"413","503",2022,"herg","2"
"414","661",2022,"herg","3"
"415","236",2022,"herg","2"
