"","flag","clutch","year","species"
"1","2",3,"2013","herg"
"2","3",2,"2013","herg"
"3","4",3,"2013","herg"
"4","5",3,"2013","herg"
"5","6",3,"2013","herg"
"6","7",2,"2013","herg"
"7","8",3,"2013","herg"
"8","9",3,"2013","herg"
"9","10",3,"2013","herg"
"10","11",3,"2013","herg"
"11",NA,NA,"2013","herg"
"12","12",3,"2013","herg"
"13","13",2,"2013","herg"
"14","15",2,"2013","herg"
"15","16",3,"2013","herg"
"16","17",3,"2013","herg"
"17","18",3,"2013","herg"
"18","19",2,"2013","herg"
"19","20",3,"2013","herg"
"20","21",1,"2013","herg"
"21","23",2,"2013","herg"
"22","25",3,"2013","herg"
"23","26",3,"2013","herg"
"24","27",2,"2013","herg"
"25","28",0,"2013","herg"
"26","29",3,"2013","herg"
"27","30",2,"2013","herg"
"28","31",0,"2013","herg"
"29","32",2,"2013","herg"
"30","32",3,"2013","herg"
"31","33",3,"2013","herg"
"32","34",3,"2013","herg"
"33","36",3,"2013","herg"
"34","37",3,"2013","herg"
"35","38",3,"2013","herg"
"36","39",3,"2013","herg"
"37","40",3,"2013","herg"
"38","41",3,"2013","herg"
"39","43",3,"2013","herg"
"40","44",3,"2013","herg"
"41","45",3,"2013","herg"
"42","46",1,"2013","herg"
"43","48",1,"2013","herg"
"44","49",3,"2013","herg"
"45","50",3,"2013","herg"
"46","51",2,"2013","herg"
"47","52",3,"2013","herg"
"48","53",2,"2013","herg"
"49","54",3,"2013","herg"
"50","55",3,"2013","herg"
"51","56",2,"2013","herg"
"52","57",2,"2013","herg"
"53","58",3,"2013","herg"
"54","59",2,"2013","herg"
"55","59",3,"2013","herg"
"56","60",3,"2013","herg"
"57","61",3,"2013","herg"
"58","62",2,"2013","herg"
"59","63",2,"2013","herg"
"60","64",3,"2013","herg"
"61","65",3,"2013","herg"
"62","66",3,"2013","herg"
"63","67",2,"2013","herg"
"64","68",3,"2013","herg"
"65","69",1,"2013","herg"
"66","70",3,"2013","herg"
"67","71",3,"2013","herg"
"68","72",1,"2013","herg"
"69","73",3,"2013","herg"
"70","74",3,"2013","herg"
"71","75",3,"2013","herg"
"72","76",3,"2013","herg"
"73","77",3,"2013","herg"
"74","78",3,"2013","herg"
"75","79",3,"2013","herg"
"76","80",3,"2013","herg"
"77","81",3,"2013","herg"
"78","82",3,"2013","herg"
"79","83",0,"2013","gbbg"
"80","84",3,"2013","herg"
"81","85",3,"2013","herg"
"82","86",3,"2013","herg"
"83","87",3,"2013","herg"
"84","88",3,"2013","herg"
"85","89",2,"2013","herg"
"86","90",3,"2013","herg"
"87","92",3,"2013","herg"
"88","93",3,"2013","herg"
"89","94",3,"2013","herg"
"90","95",3,"2013","herg"
"91","97",3,"2013","herg"
"92","98",3,"2013","herg"
"93","99",3,"2013","herg"
"94","100",3,"2013","herg"
"95","101",3,"2013","herg"
"96","102",2,"2013","herg"
"97","103",3,"2013","herg"
"98","104",3,"2013","herg"
"99","105",3,"2013","herg"
"100","106",2,"2013","herg"
"101","107",3,"2013","herg"
"102","108",2,"2013","herg"
"103","108",3,"2013","herg"
"104","109",3,"2013","herg"
"105","110",1,"2013","herg"
"106","111",3,"2013","herg"
"107","112",3,"2013","herg"
"108","113",0,"2013","herg"
"109","114",3,"2013","herg"
"110","115",2,"2013","herg"
"111","116",3,"2013","herg"
"112","117",3,"2013","herg"
"113","118",3,"2013","herg"
"114","119",2,"2013","herg"
"115","120",1,"2013","herg"
"116","189",1,"2013","herg"
"117","201",2,"2013","herg"
"118","202",2,"2013","herg"
"119","203",3,"2013","herg"
"120","204",3,"2013","herg"
"121","205",3,"2013","herg"
"122","206",3,"2013","herg"
"123","207",2,"2013","herg"
"124","208",3,"2013","herg"
"125","209",1,"2013","herg"
"126","210",3,"2013","herg"
"127","211",3,"2013","herg"
"128","212",2,"2013","herg"
"129","213",3,"2013","herg"
"130","214",2,"2013","herg"
"131","215",2,"2013","herg"
"132","216",3,"2013","herg"
"133","217",2,"2013","herg"
"134","218",3,"2013","herg"
"135","219",2,"2013","herg"
"136","220",3,"2013","herg"
"137","221",3,"2013","herg"
"138","222",3,"2013","herg"
"139","223",2,"2013","herg"
"140","224",3,"2013","herg"
"141","224",3,"2013","herg"
"142","225",2,"2013","herg"
"143","226",3,"2013","herg"
"144","228",3,"2013","herg"
"145","229",2,"2013","herg"
"146","229",3,"2013","herg"
"147","230",2,"2013","herg"
"148","231",3,"2013","herg"
"149","233",3,"2013","herg"
"150","234",3,"2013","herg"
"151","235",2,"2013","herg"
"152","236",3,"2013","herg"
"153","236",2,"2013","herg"
"154","237",1,"2013","herg"
"155","238",3,"2013","herg"
"156","239",3,"2013","herg"
"157","240",3,"2013","herg"
"158","241",2,"2013","herg"
"159","242",3,"2013","herg"
"160","243",3,"2013","herg"
"161","244",3,"2013","herg"
"162","245",3,"2013","herg"
"163","247",3,"2013","herg"
"164","248",3,"2013","herg"
"165","249",1,"2013","herg"
"166","250",3,"2013","herg"
"167","251",2,"2013","herg"
"168","252",3,"2013","herg"
"169","253",2,"2013","herg"
"170","254",3,"2013","herg"
"171","255",3,"2013","herg"
"172","256",3,"2013","herg"
"173","257",3,"2013","herg"
"174","258",3,"2013","herg"
"175","259",3,"2013","herg"
"176","260",2,"2013","herg"
"177","261",2,"2013","herg"
"178","264",2,"2013","herg"
"179","266",0,"2013","herg"
"180","267",2,"2013","herg"
"181","268",3,"2013","herg"
"182","269",2,"2013","herg"
"183","271",1,"2013","herg"
"184","273",3,"2013","herg"
"185","274",3,"2013","herg"
"186","275",3,"2013","herg"
"187","277",1,"2013","herg"
"188","278",2,"2013","herg"
"189","279",3,"2013","herg"
"190","281",1,"2013","herg"
"191","282",2,"2013","herg"
"192","282",3,"2013","herg"
"193","283",3,"2013","herg"
"194","284",3,"2013","herg"
"195","285",3,"2013","herg"
"196","286",1,"2013","herg"
"197","287",3,"2013","herg"
"198","289",2,"2013","herg"
"199","290",3,"2013","herg"
"200","291",3,"2013","herg"
"201","292",3,"2013","herg"
"202","293",3,"2013","herg"
"203","294",2,"2013","herg"
"204","295",3,"2013","herg"
"205","296",1,"2013","herg"
"206","297",3,"2013","herg"
"207","299",3,"2013","herg"
"208","300",3,"2013","herg"
"209","301",3,"2013","herg"
"210","302",3,"2013","herg"
"211","303",3,"2013","herg"
"212","304",2,"2013","herg"
"213","305",0,"2013","herg"
"214","306",3,"2013","herg"
"215","309",3,"2013","herg"
"216","310",3,"2013","herg"
"217","311",3,"2013","herg"
"218","312",3,"2013","herg"
"219","314",3,"2013","herg"
"220","315",3,"2013","herg"
"221","317",3,"2013","herg"
"222","319",3,"2013","herg"
"223","320",1,"2013","herg"
"224","321",2,"2013","herg"
"225","322",3,"2013","herg"
"226","323",3,"2013","herg"
"227","324",3,"2013","herg"
"228","325",3,"2013","herg"
"229","326",3,"2013","herg"
"230","327",3,"2013","herg"
"231","328",2,"2013","herg"
"232","330",3,"2013","herg"
"233","331",2,"2013","herg"
"234","332",3,"2013","herg"
"235","333",3,"2013","herg"
"236","334",2,"2013","herg"
"237","336",3,"2013","herg"
"238","336",0,"2013","herg"
"239","337",2,"2013","herg"
"240","338",2,"2013","herg"
"241","339",3,"2013","herg"
"242","341",3,"2013","herg"
"243","342",1,"2013","herg"
"244","343",3,"2013","herg"
"245","344",2,"2013","herg"
"246","345",2,"2013","herg"
"247","347",3,"2013","herg"
"248","349",1,"2013","herg"
"249","350",3,"2013","herg"
"250","352",3,"2013","herg"
"251","353",3,"2013","herg"
"252","354",3,"2013","herg"
"253","356",3,"2013","herg"
"254","357",2,"2013","herg"
"255","358",0,"2013","herg"
"256","359",2,"2013","herg"
"257","360",3,"2013","herg"
"258","361",2,"2013","herg"
"259","362",3,"2013","herg"
"260","364",3,"2013","herg"
"261","365",3,"2013","herg"
"262","366",3,"2013","herg"
"263","366",2,"2013","herg"
"264","368",3,"2013","herg"
"265","369",3,"2013","herg"
"266","370",3,"2013","herg"
"267","371",2,"2013","herg"
"268","374",3,"2013","herg"
"269","374",1,"2013","herg"
"270","375",3,"2013","herg"
"271","376",3,"2013","herg"
"272","377",3,"2013","herg"
"273","379",3,"2013","herg"
"274","383",1,"2013","herg"
"275","384",3,"2013","herg"
"276","385",3,"2013","herg"
"277","386",2,"2013","herg"
"278","389",3,"2013","herg"
"279","390",3,"2013","herg"
"280","390",1,"2013","herg"
"281","391",3,"2013","herg"
"282","392",3,"2013","herg"
"283","392",2,"2013","herg"
"284","393",3,"2013","herg"
"285","394",1,"2013","herg"
"286","395",3,"2013","herg"
"287","395",1,"2013","herg"
"288","396",3,"2013","herg"
"289","396",2,"2013","herg"
"290","398",3,"2013","herg"
"291","399",3,"2013","herg"
"292","400",3,"2013","herg"
"293","401",3,"2013","herg"
"294","402",3,"2013","herg"
"295","403",3,"2013","herg"
"296","403",2,"2013","herg"
"297","404",3,"2013","herg"
"298","405",2,"2013","herg"
"299","406",3,"2013","herg"
"300","407",3,"2013","herg"
"301","409",3,"2013","herg"
"302","411",3,"2013","herg"
"303","412",3,"2013","herg"
"304","414",2,"2013","herg"
"305","415",2,"2013","herg"
"306","417",3,"2013","herg"
"307","418",0,"2013","herg"
"308","419",3,"2013","herg"
"309","420",3,"2013","herg"
"310","422",3,"2013","herg"
"311","424",2,"2013","herg"
"312","425",2,"2013","herg"
"313","426",3,"2013","herg"
"314","427",3,"2013","herg"
"315","428",3,"2013","herg"
"316","429",3,"2013","herg"
"317","429",3,"2013","herg"
"318","430",3,"2013","herg"
"319","431",2,"2013","herg"
"320","432",3,"2013","herg"
"321","433",3,"2013","herg"
"322","434",3,"2013","herg"
"323","435",2,"2013","herg"
"324","436",2,"2013","herg"
"325","436",1,"2013","herg"
"326","437",2,"2013","herg"
"327","438",3,"2013","herg"
"328","439",3,"2013","herg"
"329","440",3,"2013","herg"
"330","441",3,"2013","herg"
"331","442",3,"2013","herg"
"332","443",3,"2013","herg"
"333","447",1,"2013","herg"
"334","448",3,"2013","herg"
"335","450",3,"2013","herg"
"336","452",3,"2013","herg"
"337","453",3,"2013","herg"
"338","455",1,"2013","herg"
"339","457",3,"2013","herg"
"340","458",3,"2013","herg"
"341","459",3,"2013","herg"
"342","462",3,"2013","herg"
"343","464",1,"2013","herg"
"344","465",3,"2013","herg"
"345","466",3,"2013","herg"
"346","467",1,"2013","herg"
"347","468",3,"2013","herg"
"348","469",3,"2013","herg"
"349","470",3,"2013","herg"
"350","472",3,"2013","herg"
"351","476",3,"2013","herg"
"352","477",3,"2013","herg"
"353","479",3,"2013","herg"
"354","479",3,"2013","herg"
"355","481",3,"2013","herg"
"356","482",3,"2013","herg"
"357","484",3,"2013","herg"
"358","486",3,"2013","herg"
"359","488",3,"2013","herg"
"360","489",1,"2013","herg"
"361","492",2,"2013","herg"
"362","493",2,"2013","herg"
"363","494",2,"2013","herg"
"364","495",3,"2013","herg"
"365","497",3,"2013","herg"
"366","499",2,"2013","herg"
"367","500",3,"2013","herg"
"368","501",3,"2013","herg"
"369","502",3,"2013","herg"
"370","508",2,"2013","herg"
"371","509",2,"2013","herg"
"372","510",3,"2013","herg"
"373","512",2,"2013","herg"
"374","513",3,"2013","herg"
"375","514",3,"2013","herg"
"376","516",3,"2013","herg"
"377","519",3,"2013","herg"
"378","520",3,"2013","herg"
"379","522",1,"2013","herg"
"380","523",3,"2013","herg"
"381","524",3,"2013","herg"
"382","526",3,"2013","herg"
"383","528",3,"2013","herg"
"384","529",2,"2013","herg"
"385","530",3,"2013","herg"
"386","531",1,"2013","herg"
"387","533",1,"2013","herg"
"388","534",3,"2013","herg"
"389","535",3,"2013","herg"
"390","536",2,"2013","herg"
"391","537",2,"2013","herg"
"392","538",2,"2013","herg"
"393","539",3,"2013","herg"
"394","540",3,"2013","herg"
"395","541",3,"2013","herg"
"396","542",3,"2013","herg"
"397","543",3,"2013","herg"
"398","544",2,"2013","herg"
"399","546",3,"2013","herg"
"400","547",3,"2013","herg"
"401","548",1,"2013","herg"
"402","549",3,"2013","herg"
"403","550",1,"2013","herg"
"404","551",3,"2013","herg"
"405","553",2,"2013","herg"
"406","554",3,"2013","herg"
"407","555",3,"2013","herg"
"408","556",1,"2013","herg"
"409","558",3,"2013","herg"
"410","560",3,"2013","herg"
"411","561",3,"2013","herg"
"412","562",3,"2013","herg"
"413","562",3,"2013","herg"
"414","563",3,"2013","herg"
"415","564",3,"2013","herg"
"416","565",3,"2013","herg"
"417","567",3,"2013","herg"
"418","568",3,"2013","herg"
"419","569",2,"2013","herg"
"420","571",2,"2013","herg"
"421","572",2,"2013","herg"
"422","573",2,"2013","herg"
"423","574",3,"2013","herg"
"424","575",1,"2013","herg"
"425","576",3,"2013","herg"
"426","577",2,"2013","herg"
"427","578",3,"2013","herg"
"428","578",3,"2013","herg"
"429","579",2,"2013","herg"
"430","580",2,"2013","herg"
"431","581",3,"2013","herg"
"432","583",3,"2013","herg"
"433","585",2,"2013","herg"
"434","586",1,"2013","herg"
"435","587",3,"2013","herg"
"436","588",3,"2013","herg"
"437","593",3,"2013","herg"
"438","594",2,"2013","herg"
"439","596",3,"2013","herg"
"440","597",3,"2013","herg"
"441","598",2,"2013","herg"
"442","599",3,"2013","herg"
"443","600",3,"2013","herg"
"444","602",3,"2013","herg"
"445","604",3,"2013","herg"
"446","605",3,"2013","herg"
"447","620",3,"2013","herg"
"448","637",3,"2013","herg"
"449","640",1,"2013","herg"
"450","641",3,"2013","herg"
"451","643",3,"2013","herg"
"452","647",3,"2013","herg"
"453","648",2,"2013","herg"
"454","651",3,"2013","herg"
"455","652",3,"2013","herg"
"456","656",3,"2013","herg"
"457","658",3,"2013","herg"
"458","661",3,"2013","herg"
"459","662",3,"2013","herg"
"460","663",3,"2013","herg"
"461","664",2,"2013","herg"
"462","665",3,"2013","herg"
"463","667",3,"2013","herg"
"464","669",3,"2013","herg"
"465","670",3,"2013","herg"
"466","702",3,"2013","gbbg"
"467","706",2,"2013","gbbg"
"468","707",3,"2013","gbbg"
"469","710",0,"2013","gbbg"
"470","712",1,"2013","herg"
"471","715",3,"2013","gbbg"
"472","716",3,"2013","gbbg"
"473","717",2,"2013","gbbg"
"474","723",3,"2013","herg"
"475","724",NA,"2013","gbbg"
"476","727",3,"2013","gbbg"
"477","728",3,"2013","gbbg"
"478","729",3,"2013","gbbg"
"479","730",3,"2013","gbbg"
"480","731",1,"2013","gbbg"
"481","737",2,"2013","gbbg"
"482","743",3,"2013","gbbg"
"483","747",1,"2013","gbbg"
"484","748",3,"2013","gbbg"
"485","749",3,"2013","gbbg"
"486","751",3,"2013","herg"
"487","752",3,"2013","gbbg"
"488","754",3,"2013","gbbg"
"489","762",3,"2013","gbbg"
"490","765",3,"2013","gbbg"
"491","768",3,"2013","gbbg"
"492","917",3,"2013","herg"
"493","96/35",3,"2013","herg"
"494",NA,5,"2013","coei"
"495",NA,4,"2013","coei"
"496",NA,4,"2013","coei"
"497",NA,3,"2013","herg"
"498",NA,2,"2013","herg"
"499",NA,3,"2013","herg"
"500",NA,2,"2013","herg"
"501",NA,3,"2013","herg"
"502",NA,3,"2013","herg"
"503",NA,2,"2013","herg"
"504",NA,3,"2013","herg"
"505",NA,3,"2013","herg"
"506",NA,3,"2013","herg"
"507",NA,1,"2013","herg"
"508",NA,3,"2013","herg"
"509",NA,3,"2013","herg"
"510",NA,3,"2013","herg"
"511",NA,3,"2013","herg"
"512",NA,3,"2013","herg"
"513",NA,3,"2013","herg"
"514",NA,2,"2013","herg"
"515",NA,3,"2013","herg"
"516",NA,3,"2013","herg"
"517",NA,3,"2013","herg"
"518",NA,3,"2013","herg"
"519",NA,3,"2013","herg"
