"","flag","clutch","comment","location","...5","...6","...7","year"
"84",523,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"85",66,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"86",204,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"87",867,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"88",63,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"89",518,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"90",216,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"91",511,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"92",42,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"93",331,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"94",469,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"95",205,3,"2 chicks","GenShed->PuffinPoint",NA,NA,NA,"2021"
"96",43,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"97",864,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"98",284,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"99",513,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"100",839,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"101",580,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"102",338,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"103",142,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"104",377,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"105",519,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"106",401,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"107",334,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"108",106,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"109",267,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"110",507,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"111",375,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"112",521,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"113",373,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"114",58,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"115",394,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"116",380,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"117",486,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"118",512,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"119",195,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"120",329,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"121",456,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"122",398,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"123",311,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"124",179,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"125",270,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"126",483,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"127",309,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"128",175,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"129",59,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"130",504,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"131",445,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"132",431,3,"2 chicks","GenShed->PuffinPoint",NA,NA,"GBBG","2021"
"133",68,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"134",221,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"135",393,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"136",165,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"137",220,4,"2 chicks","GenShed->PuffinPoint",NA,NA,NA,"2021"
"138",517,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"139",485,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"140",383,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"141",488,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
