"","date","species","count","notes","year"
"16755",2019-07-09,"blgu",153,NA,2019
"16756",2019-07-09,"puffin",0,NA,2019
"16757",2019-07-09,"dcco",0,NA,2019
"16758",2019-07-09,"ternsp",0,NA,2019
"16759",2019-07-09,"razo",0,NA,2019
"16760",2019-07-09,"lagu",0,NA,2019
"16761",2019-07-09,"comu",0,NA,2019
"16762",2019-07-09,"baea",0,NA,2019
"16763",2019-07-09,"noga",0,NA,2019
"16764",2019-07-09,"corvid",0,NA,2019
"16765",2019-07-09,"peepsp",0,NA,2019
"16766",2019-07-09,"seals",0,NA,2019
"16767",2019-07-09,"colo",0,NA,2019
"16768",2019-07-09,"cago",0,NA,2019
"16769",2019-07-09,"porpoise",0,NA,2019
"16770",2019-07-09,"raptor",0,NA,2019
"16771",2019-07-09,"gbhe",0,NA,2019
"16772",2019-07-09,"scoter",0,NA,2019
"16773",2019-07-09,"shearwater",0,NA,2019
"16774",2019-07-09,"wisp",0,NA,2019
"16775",2019-07-09,"lbbg",0,NA,2019
"16776",2019-07-10,"herg",508,NA,2019
"16777",2019-07-10,"gbbg",44,NA,2019
"16778",2019-07-10,"coei_ad",133,NA,2019
"16779",2019-07-10,"coei_ju",7,NA,2019
"16780",2019-07-10,"blgu",133,NA,2019
"16781",2019-07-10,"puffin",0,NA,2019
"16782",2019-07-10,"dcco",0,NA,2019
"16783",2019-07-10,"ternsp",0,NA,2019
"16784",2019-07-10,"razo",0,NA,2019
"16785",2019-07-10,"lagu",0,NA,2019
"16786",2019-07-10,"comu",0,NA,2019
"16787",2019-07-10,"baea",0,NA,2019
"16788",2019-07-10,"noga",0,NA,2019
"16789",2019-07-10,"corvid",0,NA,2019
"16790",2019-07-10,"peepsp",0,NA,2019
"16791",2019-07-10,"seals",0,NA,2019
"16792",2019-07-10,"colo",0,NA,2019
"16793",2019-07-10,"cago",0,NA,2019
"16794",2019-07-10,"porpoise",0,NA,2019
"16795",2019-07-10,"raptor",0,NA,2019
"16796",2019-07-10,"gbhe",0,NA,2019
"16797",2019-07-10,"scoter",0,NA,2019
"16798",2019-07-10,"shearwater",0,NA,2019
"16799",2019-07-10,"wisp",0,NA,2019
"16800",2019-07-10,"lbbg",0,NA,2019
"16801",2019-07-11,"herg",466,NA,2019
"16802",2019-07-11,"gbbg",36,NA,2019
"16803",2019-07-11,"coei_ad",104,NA,2019
"16804",2019-07-11,"coei_ju",6,NA,2019
"16805",2019-07-11,"blgu",104,NA,2019
"16806",2019-07-11,"puffin",0,NA,2019
"16807",2019-07-11,"dcco",0,NA,2019
"16808",2019-07-11,"ternsp",0,NA,2019
"16809",2019-07-11,"razo",0,NA,2019
"16810",2019-07-11,"lagu",0,NA,2019
"16811",2019-07-11,"comu",0,NA,2019
"16812",2019-07-11,"baea",0,NA,2019
"16813",2019-07-11,"noga",0,NA,2019
"16814",2019-07-11,"corvid",0,NA,2019
"16815",2019-07-11,"peepsp",0,NA,2019
"16816",2019-07-11,"seals",0,NA,2019
"16817",2019-07-11,"colo",0,NA,2019
"16818",2019-07-11,"cago",0,NA,2019
"16819",2019-07-11,"porpoise",0,NA,2019
"16820",2019-07-11,"raptor",0,NA,2019
"16821",2019-07-11,"gbhe",0,NA,2019
"16822",2019-07-11,"scoter",0,NA,2019
"16823",2019-07-11,"shearwater",0,NA,2019
"16824",2019-07-11,"wisp",0,NA,2019
"16825",2019-07-11,"lbbg",0,NA,2019
"16826",2019-07-12,"herg",0,"Fog",2019
"16827",2019-07-12,"gbbg",0,"Fog",2019
"16828",2019-07-12,"coei_ad",0,"Fog",2019
"16829",2019-07-12,"coei_ju",0,"Fog",2019
"16830",2019-07-12,"blgu",0,"Fog",2019
"16831",2019-07-12,"puffin",0,"Fog",2019
"16832",2019-07-12,"dcco",0,"Fog",2019
"16833",2019-07-12,"ternsp",0,"Fog",2019
"16834",2019-07-12,"razo",0,"Fog",2019
"16835",2019-07-12,"lagu",0,"Fog",2019
"16836",2019-07-12,"comu",0,"Fog",2019
"16837",2019-07-12,"baea",0,"Fog",2019
"16838",2019-07-12,"noga",0,"Fog",2019
"16839",2019-07-12,"corvid",0,"Fog",2019
"16840",2019-07-12,"peepsp",0,"Fog",2019
"16841",2019-07-12,"seals",0,"Fog",2019
"16842",2019-07-12,"colo",0,"Fog",2019
"16843",2019-07-12,"cago",0,"Fog",2019
"16844",2019-07-12,"porpoise",0,"Fog",2019
"16845",2019-07-12,"raptor",0,"Fog",2019
"16846",2019-07-12,"gbhe",0,"Fog",2019
"16847",2019-07-12,"scoter",0,"Fog",2019
"16848",2019-07-12,"shearwater",0,"Fog",2019
"16849",2019-07-12,"wisp",0,"Fog",2019
"16850",2019-07-12,"lbbg",0,"Fog",2019
"16851",2019-07-13,"herg",0,"Fog",2019
"16852",2019-07-13,"gbbg",0,"Fog",2019
"16853",2019-07-13,"coei_ad",0,"Fog",2019
"16854",2019-07-13,"coei_ju",0,"Fog",2019
"16855",2019-07-13,"blgu",0,"Fog",2019
"16856",2019-07-13,"puffin",0,"Fog",2019
"16857",2019-07-13,"dcco",0,"Fog",2019
"16858",2019-07-13,"ternsp",0,"Fog",2019
"16859",2019-07-13,"razo",0,"Fog",2019
"16860",2019-07-13,"lagu",0,"Fog",2019
"16861",2019-07-13,"comu",0,"Fog",2019
"16862",2019-07-13,"baea",0,"Fog",2019
"16863",2019-07-13,"noga",0,"Fog",2019
"16864",2019-07-13,"corvid",0,"Fog",2019
"16865",2019-07-13,"peepsp",0,"Fog",2019
"16866",2019-07-13,"seals",0,"Fog",2019
"16867",2019-07-13,"colo",0,"Fog",2019
"16868",2019-07-13,"cago",0,"Fog",2019
"16869",2019-07-13,"porpoise",0,"Fog",2019
"16870",2019-07-13,"raptor",0,"Fog",2019
"16871",2019-07-13,"gbhe",0,"Fog",2019
"16872",2019-07-13,"scoter",0,"Fog",2019
"16873",2019-07-13,"shearwater",0,"Fog",2019
