"","flag","clutch","year","location","species"
"1",NA,NA,"2012","begin east side","herg"
"2",191,2,"2012",NA,"herg"
"3",197,1,"2012",NA,"herg"
"4",117,1,"2012",NA,"herg"
"5",194,3,"2012",NA,"herg"
"6",196,2,"2012",NA,"herg"
"7",190,3,"2012",NA,"herg"
"8",155,2,"2012",NA,"herg"
"9",52,3,"2012",NA,"herg"
"10",385,3,"2012",NA,"herg"
"11",211,3,"2012",NA,"herg"
"12",110,3,"2012",NA,"herg"
"13",90,3,"2012",NA,"herg"
"14",182,3,"2012",NA,"herg"
"15",79,3,"2012",NA,"herg"
"16",120,2,"2012",NA,"herg"
"17",76,3,"2012",NA,"herg"
"18",326,1,"2012",NA,"herg"
"19",212,3,"2012",NA,"herg"
"20",339,3,"2012",NA,"herg"
"21",372,3,"2012",NA,"herg"
"22",168,3,"2012",NA,"herg"
"23",80,3,"2012",NA,"herg"
"24",185,3,"2012",NA,"herg"
"25",167,3,"2012",NA,"herg"
"26",313,3,"2012",NA,"herg"
"27",169,3,"2012",NA,"herg"
"28",314,1,"2012",NA,"herg"
"29",234,3,"2012",NA,"herg"
"30",252,3,"2012",NA,"herg"
"31",112,2,"2012",NA,"herg"
"32",260,3,"2012",NA,"herg"
"33",166,3,"2012",NA,"herg"
"34",243,3,"2012",NA,"herg"
"35",233,3,"2012",NA,"herg"
"36",257,2,"2012",NA,"herg"
"37",123,3,"2012",NA,"herg"
"38",232,2,"2012",NA,"herg"
"39",354,3,"2012",NA,"herg"
"40",210,3,"2012",NA,"herg"
"41",104,3,"2012",NA,"herg"
"42",209,2,"2012",NA,"herg"
"43",78,1,"2012",NA,"herg"
"44",229,3,"2012",NA,"herg"
"45",249,3,"2012",NA,"herg"
"46",230,2,"2012",NA,"herg"
"47",124,2,"2012",NA,"herg"
"48",264,3,"2012",NA,"herg"
"49",187,3,"2012",NA,"herg"
"50",237,2,"2012",NA,"herg"
"51",224,3,"2012",NA,"herg"
"52",188,3,"2012",NA,"herg"
"53",148,3,"2012",NA,"herg"
"54",236,3,"2012",NA,"herg"
"55",420,3,"2012",NA,"herg"
"56",228,1,"2012",NA,"herg"
"57",235,3,"2012",NA,"herg"
"58",111,3,"2012",NA,"herg"
"59",208,3,"2012",NA,"herg"
"60",207,3,"2012",NA,"herg"
