"","habitat","clutch","hatch_seq","chick","nest...4","nest...5","date","weight","chickage"
"125","berm",3,2,13,"267",41,"44749",521,19
"126","berm",3,2,13,"267",41,"44753",585,23
"127","berm",3,2,13,"267",41,"44759",720,29
"128","berm",3,2,13,"267",41,"44765",703,36
"129","berm",3,3,14,"267",41,"44733",71,1
"130","berm",3,3,14,"267",41,"44734",71,2
"131","berm",3,3,14,"267",41,"44736",93,4
"132","berm",3,3,14,"267",41,"44737",114,5
"133","berm",3,3,14,"267",41,"44739",270,7
"134","berm",3,3,14,"267",41,"44741",180,9
"135","berm",3,3,14,"267",41,"44743",230,11
"136","berm",3,3,14,"267",41,"44715",270,13
"137","berm",3,3,14,"267",41,"44747",310,15
"138","berm",3,3,14,"267",41,"44749",261,17
"139","berm",3,3,14,"267",41,"44753",420,21
"140","berm",3,3,14,"267",41,"44759",650,27
"141","berm",3,3,14,"267",41,"44765",700,34
"142","berm",3,1,15,"267",41,"44732",81,3
"143","berm",3,1,15,"267",41,"44733",104,4
"144","berm",3,1,15,"267",41,"44734",118,5
"145","berm",3,1,15,"267",41,"44736",167,7
"146","berm",3,1,15,"267",41,"44737",185,8
"147","berm",3,1,15,"267",41,"44739",243,10
"148","berm",3,1,15,"267",41,"44741",300,12
"149","berm",3,1,15,"267",41,"44743",352,14
"150","berm",3,1,15,"267",41,"44747",500,18
"151","berm",3,1,15,"267",41,"44749",520,20
"152","berm",3,1,15,"267",41,"44753",600,24
"153","berm",3,1,15,"267",41,"44759",696,30
"154","berm",3,1,15,"267",41,"44765",706,37
"155","berm",3,3,16,"271",44,"44726",88,0
"156","berm",3,3,16,"271",44,"44732",89,3
"157","berm",3,3,16,"271",44,"44733",104,4
"158","berm",3,3,16,"271",44,"44734",130,5
"159","berm",3,3,16,"271",44,"44735",178,6
"160","berm",3,3,16,"271",44,"44736",106,7
"161","berm",3,3,16,"271",44,"44737",207,8
"162","berm",3,3,16,"271",44,"44741",345,12
"163","berm",3,3,16,"271",44,"44743",450,14
"164","berm",3,3,16,"271",44,"44751",710,22
"165","berm",3,2,17,"271",44,"44728",70,2
"166","berm",3,2,17,"271",44,"44730",91,4
"167","berm",3,2,17,"271",44,"44732",141,6
"168","berm",3,2,17,"271",44,"44733",157,7
"169","berm",3,2,17,"271",44,"44734",190,8
"170","berm",3,2,17,"271",44,"44735",250,9
"171","berm",3,2,17,"271",44,"44736",280,10
"172","berm",3,2,17,"271",44,"44737",305,11
"173","berm",3,2,17,"271",44,"44739",385,13
"174","berm",3,2,17,"271",44,"44741",435,15
"175","berm",3,2,17,"271",44,"44743",550,17
"176","berm",3,2,17,"271",44,"44715",562,19
"177","berm",3,2,17,"271",44,"44747",620,21
"178","berm",3,2,17,"271",44,"44749",668,23
"179","berm",3,2,17,"271",44,"44751",740,25
"180","berm",3,1,18,"271",44,"44728",72,2
"181","berm",3,1,18,"271",44,"44730",100,4
"182","berm",3,1,18,"271",44,"44732",160,6
"183","berm",3,1,18,"271",44,"44733",165,7
"184","berm",3,1,18,"271",44,"44734",185,8
"185","berm",3,1,18,"271",44,"44735",256,9
"186","berm",3,1,18,"271",44,"44736",294,10
"187","berm",3,1,18,"271",44,"44737",310,11
"188","berm",3,1,18,"271",44,"44739",390,13
"189","berm",3,1,18,"271",44,"44715",590,19
"190","berm",3,1,18,"271",44,"44747",690,21
"191","berm",3,1,18,"271",44,"44749",790,23
"192","berm",3,1,18,"271",44,"44751",770,25
"193","berm",3,NA,19,"686",64,"44726",81,0
"194","berm",3,1,20,"686",64,"44726",86,0
"195","berm",3,1,20,"686",64,"44737",76,1
"196","berm",3,1,20,"686",64,"44739",80,3
"197","berm",3,1,20,"686",64,"44741",42,5
"198","berm",3,1,20,"686",64,"44715",119,9
"199","berm",3,1,20,"686",64,"44747",165,11
"200","berm",3,1,20,"686",64,"44753",360,17
"201","berm",3,1,20,"686",64,"44765",740,29
"202","berm",3,2,21,"686",64,"44726",88,0
"203","berm",3,2,21,"686",64,"44739",74,2
"204","berm",3,1,23,"697",NA,"44732",86,3
"205","berm",3,1,23,"697",NA,"44733",114,4
"206","berm",3,1,23,"697",NA,"44734",130,5
"207","berm",3,1,23,"697",NA,"44735",142,6
"208","berm",3,1,23,"697",NA,"44739",289,10
"209","berm",3,1,23,"697",NA,"44741",340,12
"210","berm",3,1,23,"697",NA,"44743",440,14
"211","berm",3,1,23,"697",NA,"44715",520,16
"212","berm",3,1,23,"697",NA,"44749",680,20
"213","berm",3,1,23,"697",NA,"44751",730,22
"214","berm",3,1,23,"697",NA,"44753",820,24
"215","berm",3,1,23,"697",NA,"44765",1002,37
"216","berm",3,1,25,"647",13,"44726",80,NA
"217","berm",3,1,25,"647",13,"44727",93,NA
"218","berm",3,1,25,"647",13,"44730",160,NA
"219","berm",3,1,25,"647",13,"44732",218,NA
"220","berm",3,1,25,"647",13,"44733",260,NA
"221","berm",3,1,25,"647",13,"44734",292,NA
"222","berm",3,1,25,"647",13,"44735",345,NA
"223","berm",3,1,25,"647",13,"44736",400,NA
"224","berm",3,1,25,"647",13,"44737",440,NA
"225","berm",3,1,25,"647",13,"44739",471,NA
"226","berm",3,1,25,"647",13,"44741",550,NA
"227","berm",3,1,25,"647",13,"44743",660,NA
"228","berm",3,1,25,"647",13,"44715",749,NA
"229","berm",3,1,25,"647",13,"44747",800,NA
"230","berm",3,1,25,"647",13,"44749",1000,NA
"231","berm",3,1,25,"647",13,"44751",760,NA
"232","berm",3,1,25,"647",13,"44753",900,NA
"233","berm",3,1,25,"647",13,"44765",902,NA
"234","berm",3,2,26,"647",13,"44726",68,NA
"235","berm",3,2,28,"266",97,"44726",83,0
"236","berm",3,2,28,"266",97,"44733",68,1
"237","berm",3,2,28,"266",97,"44734",70,2
"238","berm",3,2,28,"266",97,"44735",76,3
