"","Flag","clutch","comment","location","year","species"
"97",485,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"98",644,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"99",492,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"100",350,1,"1 chick","Gen Shed -> Puffin Point","2022","herg"
"101",276,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"102",121,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"103",371,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"104",716,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"105",646,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"106",475,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"107",343,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"108",428,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"109",638,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"110",466,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"111",370,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"112",74,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"113",611,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"114",377,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"115",510,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"116",274,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"117",459,1,NA,"Gen Shed -> Puffin Point","2022","herg"
"118",711,2,"2 chicks, GBBG","Gen Shed -> Puffin Point","2022","gbbg"
"119",317,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"120",575,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"121",84,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"122",333,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"123",316,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"124",278,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"125",542,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"126",472,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"127",565,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"128",649,3,"1 chick","Gen Shed -> Puffin Point","2022","herg"
"129",127,3,"3 chicks","Gen Shed -> Puffin Point","2022","herg"
"130",78,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"131",280,1,NA,"Gen Shed -> Puffin Point","2022","herg"
"132",694,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"133",243,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"134",62,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"135",199,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"136",244,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"137",246,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"138",693,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"139",551,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"140",262,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"141",336,3,"2 chicks, GBBG","Gen Shed -> Puffin Point","2022","gbbg"
"142",620,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"143",105,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"144",574,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"145",260,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"146",352,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"147",91,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"148",609,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"149",245,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"150",61,2,NA,"Gen Shed -> Puffin Point","2022","herg"
"151",69,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"152",622,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"153",556,5,"COEI","Gen Shed -> Puffin Point","2022","coei"
"154",634,1,NA,"Gen Shed -> Puffin Point","2022","herg"
"155",218,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"156",63,3,NA,"Gen Shed -> Puffin Point","2022","herg"
"157",403,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"158",213,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"159",68,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"160",101,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"161",37,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"162",256,2,NA,"Puffin Point -> Gen Shed","2022","herg"
"163",42,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"164",230,2,NA,"Puffin Point -> Gen Shed","2022","herg"
"165",568,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"166",604,2,NA,"Puffin Point -> Gen Shed","2022","herg"
"167",261,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"168",652,2,NA,"Puffin Point -> Gen Shed","2022","herg"
"169",564,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"170",449,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"171",673,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"172",339,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"173",335,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"174",418,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"175",419,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"176",29,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"177",752,2,NA,"Puffin Point -> Gen Shed","2022","herg"
"178",364,2,NA,"Puffin Point -> Gen Shed","2022","herg"
"179",75,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"180",238,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"181",36,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"182",203,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"183",671,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"184",355,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"185",53,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"186",613,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"187",738,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"188",277,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"189",33,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"190",307,2,NA,"Puffin Point -> Gen Shed","2022","herg"
"191",790,3,"3 chicks","Puffin Point -> Gen Shed","2022","herg"
"192",518,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"193",744,2,"1 chick","Puffin Point -> Gen Shed","2022","herg"
"194",442,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"195",281,1,NA,"Puffin Point -> Gen Shed","2022","herg"
"196",734,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"197",253,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"198",591,3,"1 pip","Puffin Point -> Gen Shed","2022","herg"
"199",616,2,NA,"Puffin Point -> Gen Shed","2022","herg"
"200",291,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"201",298,3,"2 chicks","Puffin Point -> Gen Shed","2022","herg"
"202",714,3,"GBBG","Puffin Point -> Gen Shed","2022","gbbg"
"203",170,2,NA,"Puffin Point -> Gen Shed","2022","herg"
"204",275,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"205",270,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"206",124,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"207",691,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"208",789,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"209",434,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"210",12,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"211",240,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"212",289,1,NA,"Puffin Point -> Gen Shed","2022","herg"
"213",118,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"214",706,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"215",487,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"216",670,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"217",329,2,NA,"Puffin Point -> Gen Shed","2022","herg"
"218",128,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"219",122,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"220",399,2,NA,"Puffin Point -> Gen Shed","2022","herg"
"221",196,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"222",254,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"223",669,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"224",387,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"225",753,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"226",729,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"227",405,2,NA,"Puffin Point -> Gen Shed","2022","herg"
"228",733,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"229",369,2,NA,"Puffin Point -> Gen Shed","2022","herg"
"230",231,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"231",45,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"232",498,3,NA,"Puffin Point -> Gen Shed","2022","herg"
"233",112,2,NA,"Boardwalk -> East Side","2022","herg"
"234",52,3,NA,"Boardwalk -> East Side","2022","herg"
"235",713,3,NA,"Boardwalk -> East Side","2022","herg"
"236",3,3,NA,"Boardwalk -> East Side","2022","herg"
"237",494,2,NA,"Boardwalk -> East Side","2022","herg"
"238",165,3,NA,"Boardwalk -> East Side","2022","herg"
"239",1,2,NA,"Boardwalk -> East Side","2022","herg"
"240",721,3,NA,"Boardwalk -> East Side","2022","herg"
"241",116,3,NA,"Boardwalk -> East Side","2022","herg"
"242",447,3,NA,"Boardwalk -> East Side","2022","herg"
"243",110,3,NA,"Boardwalk -> East Side","2022","herg"
"244",119,3,NA,"Boardwalk -> East Side","2022","herg"
"245",640,3,NA,"Boardwalk -> East Side","2022","herg"
"246",737,3,NA,"Boardwalk -> East Side","2022","herg"
"247",532,2,NA,"Boardwalk -> East Side","2022","herg"
"248",41,2,NA,"Boardwalk -> East Side","2022","herg"
"249",726,3,NA,"Boardwalk -> East Side","2022","herg"
"250",394,3,NA,"Boardwalk -> East Side","2022","herg"
"251",567,3,NA,"Boardwalk -> East Side","2022","herg"
"252",736,3,NA,"Boardwalk -> East Side","2022","herg"
"253",484,2,NA,"Boardwalk -> East Side","2022","herg"
"254",272,3,"1 chick","Boardwalk -> East Side","2022","herg"
"255",435,3,NA,"Boardwalk -> East Side","2022","herg"
"256",617,2,NA,"Boardwalk -> East Side","2022","herg"
"257",431,2,NA,"Boardwalk -> East Side","2022","herg"
"258",754,3,NA,"Boardwalk -> East Side","2022","herg"
"259",423,3,NA,"Boardwalk -> East Side","2022","herg"
"260",109,3,NA,"Boardwalk -> East Side","2022","herg"
"261",658,1,NA,"Boardwalk -> East Side","2022","herg"
"262",4,3,NA,"Boardwalk -> East Side","2022","herg"
