"","flag","clutch","year","location","species"
"1",388,3,"1999","East of the Generator Shed","herg"
"2",379,2,"1999","East of the Generator Shed","herg"
"3",399,2,"1999","East of the Generator Shed","herg"
"4",382,1,"1999","East of the Generator Shed","herg"
"5",393,2,"1999","East of the Generator Shed","herg"
"6",397,1,"1999","East of the Generator Shed","herg"
"7",390,3,"1999","East of the Generator Shed","herg"
"8",384,2,"1999","East of the Generator Shed","herg"
"9",394,3,"1999","East of the Generator Shed","herg"
"10",383,3,"1999","East of the Generator Shed","herg"
"11",385,3,"1999","East of the Generator Shed","herg"
"12",386,2,"1999","East of the Generator Shed","herg"
"13",391,3,"1999","East of the Generator Shed","herg"
"14",387,2,"1999","East of the Generator Shed","herg"
"15",395,3,"1999","East of the Generator Shed","herg"
"16",301,3,"1999","East of the Generator Shed","herg"
"17",299,3,"1999","East of the Generator Shed","herg"
"18",303,3,"1999","East of the Generator Shed","herg"
"19",306,4,"1999","East of the Generator Shed","coei"
"20",338,3,"1999","East of the Generator Shed","herg"
"21",380,3,"1999","East of the Generator Shed","herg"
"22",377,3,"1999","East of the Generator Shed","herg"
"23",372,3,"1999","East of the Generator Shed","herg"
"24",362,4,"1999","East of the Generator Shed","coei"
"25",365,3,"1999","East of the Generator Shed","herg"
"26",337,2,"1999","East of the Generator Shed","herg"
"27",351,2,"1999","East of the Generator Shed","herg"
"28",311,3,"1999","East of the Generator Shed","herg"
"29",300,3,"1999","East of the Generator Shed","herg"
"30",308,2,"1999","East of the Generator Shed","herg"
"31",396,2,"1999","East of the Generator Shed","herg"
"32",281,3,"1999","East of the Generator Shed","herg"
"33",278,3,"1999","East of the Generator Shed","herg"
"34",398,2,"1999","East of the Generator Shed","herg"
"35",375,3,"1999","East of the Generator Shed","herg"
"36",305,3,"1999","East of the Generator Shed","herg"
"37",262,2,"1999","East of the Generator Shed","herg"
"38",343,1,"1999","East of the Generator Shed","herg"
"39",355,3,"1999","East of the Generator Shed","herg"
"40",376,2,"1999","East of the Generator Shed","herg"
"41",501,3,"1999","East of the Generator Shed","herg"
"42",NA,NA,"1999",NA,"herg"
"43",370,1,"1999","West of the Generator Shed","herg"
"44",NA,NA,"1999",NA,"herg"
"45",359,1,"1999","North of the Mini Boathouse","herg"
"46",363,3,"1999","North of the Mini Boathouse","herg"
"47",304,2,"1999","North of the Mini Boathouse","herg"
"48",349,2,"1999","North of the Mini Boathouse","herg"
"49",279,2,"1999","North of the Mini Boathouse","herg"
"50",332,3,"1999","North of the Mini Boathouse","herg"
"51",369,3,"1999","North of the Mini Boathouse","herg"
"52",155,3,"1999","North of the Mini Boathouse","herg"
"53",367,3,"1999","North of the Mini Boathouse","herg"
"54",357,3,"1999","North of the Mini Boathouse","herg"
"55",356,3,"1999","North of the Mini Boathouse","herg"
"56",263,3,"1999","North of the Mini Boathouse","herg"
"57",343,1,"1999","North of the Mini Boathouse","herg"
"58",366,2,"1999","North of the Mini Boathouse","herg"
"59",152,3,"1999","North of the Mini Boathouse","herg"
"60",539,3,"1999","North of the Mini Boathouse","herg"
"61",348,3,"1999","North of the Mini Boathouse","herg"
"62",374,3,"1999","North of the Mini Boathouse","herg"
"63",325,3,"1999","North of the Mini Boathouse","herg"
"64",537,1,"1999","North of the Mini Boathouse","herg"
"65",358,3,"1999","North of the Mini Boathouse","herg"
"66",350,3,"1999","North of the Mini Boathouse","herg"
