"","date","species","count","notes","year"
"122",2000-07-21,"herg",185,NA,2000
"123",2000-07-21,"blgu",310,NA,2000
"124",2001-06-14,"herg",175,"2 laughing gull",2001
"125",2001-06-14,"gbbg",12,"2 laughing gull",2001
"126",2001-06-14,"coei_ad",31,"2 laughing gull",2001
"127",2001-06-14,"coei_ju",26,"2 laughing gull",2001
"128",2001-06-14,"blgu",268,"2 laughing gull",2001
"129",2001-06-14,"lagu",2,"2 laughing gull",2001
"130",2001-06-16,"herg",137,"4 DCCO, 6 crow",2001
"131",2001-06-16,"coei_ad",6,"4 DCCO, 6 crow",2001
"132",2001-06-16,"coei_ju",4,"4 DCCO, 6 crow",2001
"133",2001-06-16,"blgu",172,"4 DCCO, 6 crow",2001
"134",2001-06-16,"dcco",4,"4 DCCO, 6 crow",2001
"135",2001-06-16,"corvid",6,"4 DCCO, 6 crow",2001
"136",2001-06-19,"herg",106,"1 imm BAEA, 1 DCCO",2001
"137",2001-06-19,"coei_ad",35,"1 imm BAEA, 1 DCCO",2001
"138",2001-06-19,"coei_ju",97,"1 imm BAEA, 1 DCCO",2001
"139",2001-06-19,"blgu",273,"1 imm BAEA, 1 DCCO",2001
"140",2001-06-19,"dcco",1,"1 imm BAEA, 1 DCCO",2001
"141",2001-06-19,"baea",1,"1 imm BAEA, 1 DCCO",2001
"142",2001-06-21,"herg",95,"2 DCCO",2001
"143",2001-06-21,"coei_ad",6,"2 DCCO",2001
"144",2001-06-21,"blgu",183,"2 DCCO",2001
"145",2001-06-21,"dcco",2,"2 DCCO",2001
"146",2001-06-22,"herg",143,"12 DCCO",2001
"147",2001-06-22,"coei_ad",50,"12 DCCO",2001
"148",2001-06-22,"coei_ju",10,"12 DCCO",2001
"149",2001-06-22,"blgu",142,"12 DCCO",2001
"150",2001-06-22,"dcco",12,"12 DCCO",2001
"151",2001-06-26,"herg",114,"6 DCCO",2001
"152",2001-06-26,"coei_ad",26,"6 DCCO",2001
"153",2001-06-26,"coei_ju",59,"6 DCCO",2001
"154",2001-06-26,"blgu",198,"6 DCCO",2001
"155",2001-06-26,"dcco",6,"6 DCCO",2001
"156",2001-06-27,"herg",92,NA,2001
"157",2001-06-27,"coei_ad",49,NA,2001
"158",2001-06-27,"coei_ju",63,NA,2001
"159",2001-06-27,"blgu",105,NA,2001
"160",2001-06-28,"herg",102,"2 imm BAEA",2001
"161",2001-06-28,"coei_ad",63,"2 imm BAEA",2001
"162",2001-06-28,"coei_ju",77,"2 imm BAEA",2001
"163",2001-06-28,"blgu",224,"2 imm BAEA",2001
"164",2001-06-28,"baea",2,"2 imm BAEA",2001
"165",2001-06-29,"herg",106,"8 gannets?",2001
"166",2001-06-29,"coei_ad",96,"8 gannets?",2001
"167",2001-06-29,"coei_ju",50,"8 gannets?",2001
"168",2001-06-29,"blgu",236,"8 gannets?",2001
"169",2001-06-29,"noga",8,"8 gannets?",2001
