flag,year,species,clutch
420,2022,herg,3
555,2022,gbbg,3
455,2022,herg,2
72,2022,herg,3
439,2022,herg,3
114,2022,herg,3
143,2022,herg,3
81,2022,herg,3
528,2022,herg,2
424,2022,herg,3
561,2022,herg,3
569,2022,herg,3
593,2022,herg,2
586,2022,herg,3
221,2022,herg,3
718,2022,herg,3
592,2022,herg,3
229,2022,herg,2
534,2022,herg,3
88,2022,herg,3
641,2022,herg,3
404,2022,herg,3
537,2022,herg,3
296,2022,herg,1
741,2022,herg,3
164,2022,herg,3
663,2022,herg,2
437,2022,herg,2
731,2022,herg,2
547,2022,herg,3
454,2022,herg,3
338,2022,herg,3
607,2022,herg,1
540,2022,herg,3
342,2022,herg,3
412,2022,herg,3
177,2022,herg,3
146,2022,herg,3
513,2022,herg,3
85,2022,herg,3
533,2022,herg,3
587,2022,herg,3
458,2022,herg,3
283,2022,herg,3
39,2022,herg,3
323,2022,herg,3
9,2022,herg,3
584,2022,herg,3
543,2022,herg,2
433,2022,herg,3
730,2022,herg,3
147,2022,herg,2
35,2022,herg,2
674,2022,herg,3
541,2022,herg,3
295,2022,herg,3
140,2022,herg,3
519,2022,herg,3
425,2022,herg,1
497,2022,herg,2
674,2022,herg,3
504,2022,herg,3
111,2022,herg,3
354,2022,herg,3
117,2022,herg,3
746,2022,herg,3
577,2022,herg,3
436,2022,herg,3
93,2022,herg,3
393,2022,herg,2
257,2022,herg,3
141,2022,herg,3
570,2022,herg,2
723,2022,herg,2
325,2022,herg,3
87,2022,herg,3
410,2022,herg,3
286,2022,herg,3
356,2022,herg,3
25,2022,herg,3
461,2022,herg,3
664,2022,herg,3
426,2022,herg,3
750,2022,herg,3
523,2022,herg,3
606,2022,herg,3
123,2022,herg,3
95,2022,herg,3
212,2022,herg,3
479,2022,herg,3
365,2022,herg,3
293,2022,herg,2
769,2022,herg,3
129,2022,herg,2
503,2022,herg,2
661,2022,herg,3
236,2022,herg,2
571,2022,herg,3
427,2022,herg,3
57,2022,herg,2
554,2022,herg,3
227,2022,herg,3
332,2022,herg,1
743,2022,herg,3
464,2022,herg,3
749,2022,herg,3
207,2022,herg,3
463,2022,herg,3
666,2022,herg,2
10,2022,herg,3
272,2022,herg,3
512,2022,herg,1
90,2022,herg,3
740,2022,herg,2
489,2022,coei,3
239,2022,herg,2
310,2022,herg,3
198,2022,herg,3
594,2022,herg,3
658,2022,herg,3
448,2022,herg,3
136,2022,herg,3
392,2022,herg,3
526,2022,herg,3
467,2022,herg,3
28,2022,herg,3
26,2022,herg,3
132,2022,herg,5
585,2022,herg,3
685,2022,herg,2
395,2022,herg,1
97,2022,herg,3
327,2022,herg,3
263,2022,herg,3
8,2022,herg,1
232,2022,herg,3
169,2022,herg,1
505,2022,herg,2
224,2022,herg,3
92,2022,herg,3
751,2022,gbbg,2
605,2022,herg,1
672,2022,herg,2
535,2022,herg,1
235,2022,herg,3
545,2022,coei,4
241,2022,coei,3
222,2022,herg,2
659,2022,herg,3
299,2022,herg,3
760,2022,herg,3
451,2022,herg,2
265,2022,herg,3
408,2022,herg,2
294,2022,herg,3
445,2022,herg,3
536,2022,herg,3
282,2022,herg,3
59,2022,herg,3
152,2022,herg,3
683,2022,herg,1
759,2022,herg,3
1598,2022,herg,3
5,2022,herg,3
314,2022,herg,3
290,2022,herg,3
778,2022,herg,2
517,2022,herg,3
344,2022,herg,3
648,2022,herg,3
233,2022,herg,3
288,2022,herg,2
284,2022,herg,3
115,2022,gbbg,3
520,2022,herg,2
157,2022,herg,3
745,2022,herg,3
457,2022,herg,3
300,2022,herg,3
161,2022,herg,3
651,2022,herg,3
163,2022,herg,3
681,2022,herg,2
248,2022,herg,3
60,2022,herg,3
58,2022,herg,3
722,2022,herg,3
